PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,04/04/2023,9:12:47 PM,1,2,Ethan Holt,holt-et43,Right,Uc san diego,Dustin Allen,allendu42,Left,San diego,Stretch,1,Top,0,0,1,Fastball,,InPlay,,GroundBall,Out,1,0,,87.91986727734134,-2.5220236166305807,-3.3887046908690084,1545.047911628322,232.2124508669258,1:45,5.33020524196133,1.4348565023110205,6.4008129284268795,-27.47672216751816,8.499588236398758,8.16029934256793,1.795030349824048,0.21228008504705662,79.92270164513053,-7.3349742230074755,0.6734920607814384,0.42888553099632876,100.56021654607164,-11.858896707935298,17.86656294027997,,,,,8.278105765771103,,15.155803593406077,0.054761754712352104,-5.434185374139048,5.520841474797454,-1.1958986977363901,50.00000000000005,5.136929006068445,7.328234958894566,-127.73947444873077,-6.412130441888616,-8.958388225014026,26.87502263885958,-23.072806648031523,UC San Diego,San Diego,tri01,NCAA D1,BWC,805084d3-7aba-4ba3-8445-8ec7f68d2304,4d583174-fd5c-48b5-9142-c69cbd5bbc2b,88.0806004446399,5.327947351334721,1.4380624252523684,-2.494750391892435,-3.428347416711124,80.05593885600173,1.7974611923361228,0.20957969235049792,-7.297388762754635,0.6317034926774281,0.4287537857567753,8.556986893900167,6.988274687055927,-32.54025147343037,2.2345118582961008,1302.4966661535434,-831.0688803498444,84.30137708680151,-0.5165443225080846,-0.5378919799800791,-0.666223821817994,30.193513252218597,93.66777755949467,-20.665341912147174,-0.23138863913344515,0.5188120689444129,1.6884656349073548,2.1642669879678866,7.990180440646207,,,,,,,,,0.9142780903979297,1,,57.961152962277296,high,high,92.0110606724665,7.099913906224377,54.09918707157312,Emiliano Gonzalez,gonzaem47,Uc san diego
2,04/04/2023,9:12:19 PM,1,1,Ethan Holt,holt-et43,Right,Uc san diego,Dustin Allen,allendu42,Left,San diego,Stretch,1,Top,0,0,0,Slider,,Foul,,,,,,,81.04421508192871,-1.4249016132801213,-1.3147486305369156,,,,5.988366986719382,1.3453030533341332,5.999999999999997,,,,1.3120312433702228,0.1270022914738738,74.84427999084893,-8.940666787612418,-1.314748630536856,,,,,,,,,,,,,,,,,,,,,,,,UC San Diego,San Diego,tri01,NCAA D1,BWC,805084d3-7aba-4ba3-8445-8ec7f68d2304,2265f254-fdd1-4d07-9af5-1025f703c9ee,81.17523557877527,5.982864882555515,1.3453030533341273,-1.359676871317676,-1.3147486305368827,74.93997538478722,1.3166860241619698,0.12700229147386946,-8.870300662251603,-1.3147486305368834,0.4671537127820184,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,54.5,Emiliano Gonzalez,gonzaem47,Uc san diego
3,04/04/2023,9:17:05 PM,2,1,Spencer Seid,seid-sp42,Left,Uc san diego,Angelo Peraza,perazan44,Right,San diego,Stretch,9,Top,1,0,0,Slider,,BallCalled,,,,0,0,,76.36187365082122,-1.2853444247983934,1.9497298924697475,2017.272366821699,284.85513046910387,3:30,5.856843720485184,-2.2459997089827786,5.999999999999997,-45.6726920560797,2.0243614207454286,6.2044425538480175,0.8590515625372649,0.0781184666682645,70.45958392449432,-9.804029031584344,3.1196419608748247,0.49706970844376414,,,,,,,,,,,,-2.7997195341589993,1.4679707457152997,2.089400002166942,50.00000000000005,5.73072188878859,-3.9501539122283638,-111.07424579766469,-3.737156944464035,-3.4850197666264866,20.56812452038803,-30.346756886417502,UC San Diego,San Diego,tri01,NCAA D1,BWC,805084d3-7aba-4ba3-8445-8ec7f68d2304,35d89992-876d-4bb2-ae60-f08867f79ecc,76.47367184667787,5.84984023208311,-2.248717394749241,-1.2006170923310164,1.9834417072436543,70.53688719361193,0.8651007592915004,0.08001059735395004,-9.713122478726127,3.1481207366485364,0.49695882344985143,5.8845190217111,-0.381338754742051,78.56928194653766,60.062478488470425,399.7887946395484,1977.2599023960095,19.81828538450825,0.05080931246120172,0.9801650659158481,-0.19155901786499457,,,,,,,,,,,,,,,,,0.9115175851453741,0,,,medium,high,35.94376936037661,-85.86747015596079,54.5,Emiliano Gonzalez,gonzaem47,Uc san diego
4,04/04/2023,9:17:23 PM,2,2,Spencer Seid,seid-sp42,Left,Uc san diego,Angelo Peraza,perazan44,Right,San diego,Stretch,9,Top,1,1,0,Fastball,,BallCalled,,,,0,0,,88.81265518915869,-1.7632758838947062,0.6728010979265753,1849.4968909222387,135.65569321512564,10:30,5.868927847089547,-1.4011091601839973,5.999999999999997,-23.318179877575453,11.989887616918011,-9.884110403162405,2.2914795078737265,-1.6014203667930764,80.97658646761488,-6.149180935330252,-1.1964283984314636,0.42766971428154715,,,,,,,,,,,,5.55721637192442,7.020352796318752,1.3536864686688699,50.000000000000036,5.7175972260298975,-1.204752394555894,-129.20372027839113,-4.715017493691628,9.339883107233028,28.366108232701944,-20.375107435678874,UC San Diego,San Diego,tri01,NCAA D1,BWC,805084d3-7aba-4ba3-8445-8ec7f68d2304,5859b4ab-3102-4823-bc43-98fc350408ff,88.99300703972266,5.8675181271183705,-1.4047056305049141,-1.747108277677326,0.7160884203235816,81.1228366167305,2.2930269842097633,-1.5986350425612494,-6.124925837294035,-1.1532621043438078,0.4275372554381135,-10.288857088460263,10.542493713838926,9.059432655406061,8.994747947182931,1826.4254164248157,291.2197585475017,98.75255402641318,-0.7062312954685399,0.15745890678534044,0.6902492665514345,,,,,,,,,,,,,,,,,0.9733130378603085,0,,,medium,high,81.90472684753536,-1.9807010907304645,54.5,Emiliano Gonzalez,gonzaem47,Uc san diego
5,04/04/2023,9:17:43 PM,2,3,Spencer Seid,seid-sp42,Left,Uc san diego,Angelo Peraza,perazan44,Right,San diego,Stretch,9,Top,1,2,0,Fastball,,InPlay,,GroundBall,Double,0,1,,87.84292288237639,-1.1383666411042748,2.13709573734537,1929.3415793148972,134.3582073721416,10:30,5.8213787521345814,-1.4899006628988796,5.999999999999997,-23.903686371967584,12.208052232255692,-10.449963840332098,2.773859090891711,-0.3798381075564288,79.98684001415546,-5.641633942246153,0.16179588028349084,0.43250957008051744,97.06933095936637,-7.541259170247615,39.47337050881339,2812.6707598298776,,,,17.704083144406088,,41.51301869215458,0.11999447355145439,6.294348278868189,6.953798834451534,1.327708264887646,49.999999999999986,5.718784672411191,-4.440468966766561,-127.7496174545859,-3.2876161456799338,10.343758119997243,27.68942995303286,-20.746589589836717,UC San Diego,San Diego,tri01,NCAA D1,BWC,805084d3-7aba-4ba3-8445-8ec7f68d2304,3ceca22c-e2bd-4bb0-996a-e580b466dd9f,88.02478627188884,5.819959479193051,-1.4938307217785964,-1.122163615568414,2.184032394153868,80.13351398866718,2.7754374449818373,-0.37680217520335385,-5.616950640131376,0.20840758724878164,0.43237379340456916,-10.888944571079874,10.735823225408115,11.91787752084237,5.158138280791118,1887.7538439044833,398.4273515926702,97.84445969255576,-0.684071716799051,0.20650949311637729,0.6995710939771711,61.17512467442755,74.28167401510967,-12.73938928992401,0.6534711788949351,0.49772611034846675,2.586975862218823,11.734092951693842,13.256908485203205,0.018358144595488075,-0.22066673803404457,-0.002861817006341874,-0.10704912325455099,0.1121347443450101,-0.9879100588217083,,,0.9887254309157781,0,0.9659747478878337,53.73766708442148,medium,high,94.642324452712,-27.0123489607375,54.5,Emiliano Gonzalez,gonzaem47,Uc san diego
6,04/04/2023,9:18:55 PM,3,1,Spencer Seid,seid-sp42,Left,Uc san diego,Kevin Sim,sim--ke42,Right,San diego,Stretch,9,Top,1,0,0,,,BallCalled,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UC San Diego,San Diego,tri01,NCAA D1,BWC,805084d3-7aba-4ba3-8445-8ec7f68d2304,4aab4630-0ad0-4f89-97e9-909c308e67f4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emiliano Gonzalez,gonzaem47,Uc san diego
7,04/04/2023,9:18:56 PM,3,2,Spencer Seid,seid-sp42,Left,Uc san diego,Kevin Sim,sim--ke42,Right,San diego,Stretch,9,Top,1,1,0,,,BallCalled,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UC San Diego,San Diego,tri01,NCAA D1,BWC,805084d3-7aba-4ba3-8445-8ec7f68d2304,d24ce768-0625-4a14-b487-3f51d828276f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emiliano Gonzalez,gonzaem47,Uc san diego
8,04/04/2023,9:18:57 PM,3,3,Spencer Seid,seid-sp42,Left,Uc san diego,Kevin Sim,sim--ke42,Right,San diego,Stretch,9,Top,1,2,0,,,BallCalled,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UC San Diego,San Diego,tri01,NCAA D1,BWC,805084d3-7aba-4ba3-8445-8ec7f68d2304,9dc2357e-3199-4a22-8cb1-28179742ac3b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emiliano Gonzalez,gonzaem47,Uc san diego
9,04/04/2023,9:18:58 PM,3,4,Spencer Seid,seid-sp42,Left,Uc san diego,Kevin Sim,sim--ke42,Right,San diego,Stretch,9,Top,1,3,0,,,BallCalled,Walk,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UC San Diego,San Diego,tri01,NCAA D1,BWC,805084d3-7aba-4ba3-8445-8ec7f68d2304,bef1bc1b-de9c-4623-a82d-d13bdc6f2594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emiliano Gonzalez,gonzaem47,Uc san diego
10,04/04/2023,9:19:11 PM,4,1,Spencer Seid,seid-sp42,Left,Uc san diego,Jack Gurevitch,gurevja42,Right,San diego,Stretch,9,Top,1,0,0,Slider,,InPlay,,LineDrive,Single,0,1,,75.68701296055553,0.017226470886451264,2.2398024190212613,2062.6759649121695,293.6798527430037,3:45,5.623784308806327,-2.62476948972433,5.999999999999997,-48.34306892815058,0.31289428601948543,8.452796655470712,1.611167192441338,0.15581774877590585,69.57126064566867,-9.03203125625882,3.8342624237299794,0.5020414319954036,104.5102574953359,11.403873901916775,3.9367501907354927,971.9910358639473,,,,222.2866930865354,,0.74035471283569,1.8046459123810599,-3.9206045484436847,0.16456456050111898,2.4441314216575343,50.00000000000005,5.598631430443818,-4.533100419853767,-110.08119375560408,-1.2686836604582425,-4.781136189073624,20.6670514195856,-31.9733648278386,UC San Diego,San Diego,tri01,NCAA D1,BWC,805084d3-7aba-4ba3-8445-8ec7f68d2304,d37d3f32-c55b-47e4-856e-3c417d5b5948,75.79670240396742,5.615595287561129,-2.6266053017168782,0.11590058354503123,2.262649635896904,69.64267844235283,1.6180202246452635,0.15699609762427236,-8.928593356264946,3.851849836387305,0.5019330393154284,8.234564463409683,-2.3621354600396773,69.42582601204651,44.49336096715906,724.8649165419633,1931.1144422309524,35.14196746714061,0.1411391981037583,0.9362180367061099,-0.3218315001748352,7.033519317379847,102.20526692292533,20.664146267558362,-0.11535382664625841,1.8709689952070658,1.677172475958276,2.8722258876619886,222.26813591200568,-12.334335223416028,-2.0866617849314832,-0.012927914270927321,-0.013828549370324204,-0.27688685015276926,0.9608030201007856,,,0.9187068422584949,0,0.996125738939104,64.3041125250516,medium,high,49.95597512955682,-76.20916847920756,54.5,Emiliano Gonzalez,gonzaem47,Uc san diego
