PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,04/06/2023,6:05:40 PM,1,1,Michael Mitchell,mitchmi57,Right,Uc san diego,Damian Stone,stoneda56,Left,Uc davis,Windup,1,Top,0,0,0,Fastball,,BallCalled,,LineDrive,,,,,91.8838789258367,-2.5638626202548838,-1.0713116313893676,2324.6918061777933,187.0109481858411,12:15,6.615517316300695,0.6274736523287326,6.284839841760412,-17.810153676809808,14.801468261730708,0.733663643772177,3.761099705095429,0.0411027221706785,83.4590670251018,-5.797787178854679,-0.5732769543115571,0.411015047482338,,,,,,,,,,,,-0.7121025913068165,8.847997132589445,-0.5490071516653595,50.0,6.418063047243574,2.4767991108766836,-133.66483265913186,-6.538426263373736,-1.2830571901108614,29.90560334209079,-16.231843395996343,UC San Diego,UC Davis,tri01,NCAA D1,BWC,f2d3b6ef-7454-4df2-9842-b2a4c863b4bd,995f11b3-e33a-41ec-8610-bab5bab1b0a3,92.06674106329518,6.615383262072865,0.628778758314381,-2.5629020194268457,-1.087190158003148,83.61689237580369,3.7616707336568185,0.040051809676064504,-5.788506286612609,-0.5894165521880488,0.4108762554762476,0.8789412336943885,13.652029197070572,-42.734775274454705,68.38996062397207,1707.4927593080974,-1577.5488805804375,73.45028509888884,-0.7290108604235954,-0.6786056011330845,-0.08965268258816429,,,,,,,,,,,,,,,,,0.9959510577122219,1,,,high,high,28.44903543842513,31.16594166483413,54.215160158239584,Emiliano Gonzalez,gonzaem47,Uc san diego
2,04/06/2023,6:05:55 PM,1,2,Michael Mitchell,mitchmi57,Right,Uc san diego,Damian Stone,stoneda56,Left,Uc davis,Windup,1,Top,0,1,0,Fastball,,InPlay,,GroundBall,Out,1,0,,91.16377431605505,-3.2899834680705964,-1.4100120438166777,2282.3478855487306,192.22118803346464,12:30,6.489416411594933,0.6520342364821132,6.468819047155324,-18.060029345132772,14.866493160990128,1.87153409830934,2.7472244349802653,-0.07373504591203535,84.36144579472318,-6.885116387074151,-0.4457989123927801,0.41299467804793016,,,,,,,,,,,,-1.4381820849860611,9.143823422208666,-0.5536494418396882,49.999999999999936,6.249511078405532,3.207404803828557,-132.55831542278182,-8.157195848312956,-2.5497455803243385,29.29115138204939,-15.963012331792596,UC San Diego,UC Davis,tri01,NCAA D1,BWC,f2d3b6ef-7454-4df2-9842-b2a4c863b4bd,7bf8a20d-6afc-4a0a-9b9c-c0bfc7cdca5f,91.34158198691836,6.489260108021504,0.6535836492209841,-3.288718172556725,-1.429332783026825,84.51733019848777,2.7477410145187284,-0.07495450178489423,-6.876608801989039,-0.46475403394334497,0.4128587044100028,2.0476453867662805,13.72350471154396,-40.36786513706676,79.36473776958073,1738.9247057822724,-1478.2600374388799,76.1901687640486,-0.7446352272884211,-0.6476926882176295,-0.16128409689284956,,,,,,,,,,,,,,,,,0.9968966169194459,1,,,high,high,18.571736007377368,44.79833439847241,54.03118095284467,Emiliano Gonzalez,gonzaem47,Uc san diego
3,04/06/2023,6:06:29 PM,2,1,Michael Mitchell,mitchmi57,Right,Uc san diego,James Williams,willijb79,Switch,Uc davis,Windup,1,Top,1,0,0,Fastball,,StrikeCalled,,,,0,0,,91.68393680057206,-3.2131581699872767,-0.7295978777151867,2240.0695624005516,187.95629905768487,12:15,6.459478509991483,0.5589081766640888,6.555139608413036,-17.59174659571111,14.833916226682813,0.9532729301823859,2.9515963912778798,0.1844591489494266,83.91416780402163,-6.545654600446686,-0.10508327396585254,0.4098415200639328,,,,,,,,,,,,-0.7376169931340469,9.129938131368165,-0.5090831070964691,50.00000000000004,6.230414377256753,1.6705596911087477,-133.3727496864628,-8.002625528432288,-1.3237371953185169,29.672086921485747,-15.78934206441968,UC San Diego,UC Davis,tri01,NCAA D1,BWC,f2d3b6ef-7454-4df2-9842-b2a4c863b4bd,d7c68905-95aa-48ff-a55c-28eb4d80afdf,91.86286365005141,6.459359955209489,0.5601336807321141,-3.212374225377828,-0.7447230809272217,84.07050341678455,2.9521210202889585,0.18347413275509436,-6.537092445327197,-0.12028076230988781,0.4097062694695293,1.0909979649691754,13.710193862266859,-38.76421077362627,75.79559001255156,1746.647671974226,-1402.5453840715513,77.97292107761358,-0.7722234840101416,-0.6261168883382914,-0.10792836921224197,,,,,,,,,,,,,,,,,0.9934149679094262,1,,,high,high,21.783968988703545,46.14831387044505,53.944860391586964,Emiliano Gonzalez,gonzaem47,Uc san diego
4,04/06/2023,6:06:47 PM,2,2,Michael Mitchell,mitchmi57,Right,Uc san diego,James Williams,willijb79,Switch,Uc davis,Windup,1,Top,1,0,1,Changeup,,BallCalled,,,,0,0,,84.88598895110148,0.5141584940985605,0.34471967096839357,1711.9444275549151,203.98139082166418,12:45,6.403114653192195,0.9105686472372957,6.557143283995698,-25.807920300175827,11.930860261514876,4.290705987253196,5.531084615502687,1.4948338596919275,77.17308158080623,-4.348791241684325,1.1268637578705765,0.44324291292439355,,,,,,,,,,,,-2.28056049098216,6.451775232195461,-0.8777598451298282,50.000000000000014,7.176809563068213,-0.7804314159790244,-123.3547698476565,0.5818361208140987,-3.4982448203557666,25.56067787953237,-22.277408222013502,UC San Diego,UC Davis,tri01,NCAA D1,BWC,f2d3b6ef-7454-4df2-9842-b2a4c863b4bd,8de2c217-9480-4e1d-8a6f-91e5a021c2b8,85.05651003661482,6.401574164369807,0.9129726132493914,0.5329198957525452,0.31430342935240124,77.31890888186444,5.532928283457451,1.4928324119114909,-4.319425983290291,1.095537786102867,0.44309848797175805,4.566399123790889,10.417264713978545,-39.78560476226326,70.75728799842666,1315.5339702681563,-1095.5017554101994,76.84443192744685,-0.7021102953072792,-0.6399166572099831,-0.3123264398809783,,,,,,,,,,,,,,,,,0.9539581413525865,1,,,high,high,26.318440801416017,-49.16350231196667,53.9428567160043,Emiliano Gonzalez,gonzaem47,Uc san diego
5,04/06/2023,6:07:06 PM,2,3,Michael Mitchell,mitchmi57,Right,Uc san diego,James Williams,willijb79,Switch,Uc davis,Windup,1,Top,1,1,1,Fastball,,BallCalled,,,,0,0,,91.93842972915073,-1.546474592001864,0.1832699043547823,2275.718891719968,185.58160087114487,12:15,6.5205005084208345,0.7962741450969999,6.3223427264418985,-18.163332630821973,14.321782730513004,0.5829900642278495,4.589842931034634,1.195246038377719,84.08792055532204,-4.793462622534356,0.4866388608943559,0.410217070757469,,,,,,,,,,,,-0.2663617095548842,8.30355291534796,-0.8099163666452228,50.00000000000002,6.399012696614449,-0.44612219544521375,-133.85676564185474,-4.17332448789992,-0.48109263978257294,30.11088862422208,-17.1764803096401,UC San Diego,UC Davis,tri01,NCAA D1,BWC,f2d3b6ef-7454-4df2-9842-b2a4c863b4bd,00a6dfde-1715-4052-89cd-a6f222e36772,92.12365506121158,6.520264386995273,0.797582836565734,-1.5442524394992836,0.16745677923633492,84.24759196783768,4.590445412786117,1.19424664262054,-4.7836429745096,0.4711469560827754,0.41007713678746127,0.7276967991020425,13.148844670918422,-42.84737603212821,71.3691731904812,1668.4838157250738,-1547.5975674556537,73.31678010828696,-0.7296916215990166,-0.6800477743918509,-0.07131032122272235,,,,,,,,,,,,,,,,,0.9965462929659649,1,,,high,high,25.767744128566925,28.36467975174638,54.1776572735581,Emiliano Gonzalez,gonzaem47,Uc san diego
6,04/06/2023,6:07:24 PM,2,4,Michael Mitchell,mitchmi57,Right,Uc san diego,James Williams,willijb79,Switch,Uc davis,Windup,1,Top,1,2,1,Fastball,,StrikeCalled,,,,0,0,,92.03269435688019,-3.0636111920206757,0.36437661834338847,2243.787603767317,187.51619508003657,12:15,6.508492128577564,0.47159196845482293,6.42589501470395,-18.2496109363389,14.074413474258211,0.6806600231047623,3.1867705687467627,0.9366349173181434,84.79177063724241,-6.363268434155132,0.8211701117528155,0.40919869072328974,,,,,,,,,,,,-0.26970224018693684,8.627165269881376,-0.4978134656022681,50.00000000000002,6.282082957183737,-0.8719863242869663,-133.88124302589026,-7.716530416408556,-0.4878495878499144,29.821158846761342,-16.568843569514794,UC San Diego,UC Davis,tri01,NCAA D1,BWC,f2d3b6ef-7454-4df2-9842-b2a4c863b4bd,49df3654-bb75-4d6c-8a4f-dded50d5306e,92.21126733038123,6.508136917561671,0.4728973862273707,-3.0598931642197202,0.3483644955851496,84.94681503810575,3.1874379022254344,0.9356321733914069,-6.352507892796183,0.8056152373579722,0.4090626261333651,0.8266048126664426,12.93348065145727,-42.920983361781275,69.87838922847493,1643.111179813377,-1527.9949154340038,73.22935455453072,-0.7260016263584977,-0.6809891064860605,-0.09578870169353468,,,,,,,,,,,,,,,,,0.9882551345725684,1,,,high,high,27.109449694372554,37.616777858280386,54.074104985296046,Emiliano Gonzalez,gonzaem47,Uc san diego
7,04/06/2023,6:07:47 PM,2,5,Michael Mitchell,mitchmi57,Right,Uc san diego,James Williams,willijb79,Switch,Uc davis,Windup,1,Top,1,2,2,Fastball,,StrikeSwinging,Strikeout,,StrikeoutSwinging,1,0,,93.75684229672456,-2.8334312712114906,-0.23640900011101978,2308.183724398064,190.28831894105838,12:15,6.3990708263435305,0.6206633854211913,6.4778112977612965,-16.106298037222434,14.98633755973227,1.6795557541044477,3.3237091102008613,0.7158033764976498,85.9332694603189,-5.865007763553041,0.39471424446927383,0.4013287671099084,,,,,,,,,,,,-0.9947670526354178,9.08692837714574,-0.6048175905650456,50.00000000000002,6.192803487905376,0.5118342399040805,-136.42374227916514,-7.241818420550237,-1.866741343330634,31.208349974810627,-15.121871550385848,UC San Diego,UC Davis,tri01,NCAA D1,BWC,f2d3b6ef-7454-4df2-9842-b2a4c863b4bd,4325b217-865b-41d4-ada9-dc53a0f3dbe4,93.94022382656661,6.399249088231332,0.622004475240241,-2.836272314844359,-0.2529693936839381,86.09401903361427,3.323948148666731,0.7147298858784731,-5.860797444290115,0.37806055519020376,0.40119500151370807,1.8301078368655048,13.92362042764136,-36.78738605018493,81.09423847845916,1848.539463983997,-1382.2495996273158,80.08632261134522,-0.7879865230421618,-0.5988473036251841,-0.14303547267993005,,,,,,,,,,,,,,,,,0.996871805119383,1,,,high,high,17.015185369386764,53.22175090282873,54.0221887022387,Emiliano Gonzalez,gonzaem47,Uc san diego
8,04/06/2023,6:08:18 PM,3,1,Michael Mitchell,mitchmi57,Right,Uc san diego,Alex Gouveia,gouveal43,Right,Uc davis,Windup,1,Top,2,0,0,Fastball,,BallCalled,,,,0,0,,89.4421075925044,-2.0803671719879504,-2.3449770239622887,2260.6988593363944,184.1499253897683,12:15,6.47966797534345,0.3004237669234552,6.642498765287132,-19.126393188685846,14.839745417875768,0.15554200125678586,3.862671233851473,-0.9008960640844071,82.47152935998898,-5.799976264310282,-1.0068909712120269,0.4194639200611192,,,,,,,,,,,,-0.7685988693251878,8.838225833332169,-0.14252170750942209,49.999999999999936,6.331518807001047,5.325141543392126,-130.14499603600115,-5.266775756806047,-1.3123674338103042,28.449805796528953,-17.082953021533633,UC San Diego,UC Davis,tri01,NCAA D1,BWC,f2d3b6ef-7454-4df2-9842-b2a4c863b4bd,d96b40b1-39ac-46e9-b653-77df507c6d8a,89.6190939027958,6.479353458054042,0.30156501164613303,-2.0771625623977408,-2.359217470548995,82.62634456604574,3.8633821123896115,-0.9017947974175361,-5.78841579172935,-1.0208428882819292,0.4193235048460509,0.2853235836079295,13.617556825093049,-43.33429825185083,80.53371322466023,1644.346624180472,-1551.413391766089,72.73620798230303,-0.7254550121588299,-0.6862538924009945,-0.05263668395820694,,,,,,,,,,,,,,,,,0.9975648883354704,1,,,high,high,17.519658097805763,60.426973639737405,53.85750123471286,Emiliano Gonzalez,gonzaem47,Uc san diego
9,04/06/2023,6:08:36 PM,3,2,Michael Mitchell,mitchmi57,Right,Uc san diego,Alex Gouveia,gouveal43,Right,Uc davis,Windup,1,Top,2,1,0,Fastball,,InPlay,,GroundBall,Out,1,0,,92.12205501639939,-3.416101838541276,-0.6564048615707505,2394.058421658614,183.60857250407577,12:00,6.447685492365503,0.4127219202510648,6.529856399799611,-16.690842658833894,15.48037675655086,-0.09850979186722617,2.793701545825704,0.17286502043638907,84.47821513706673,-6.574926082626202,-0.09864388058144007,0.4067052663304631,86.86778003033818,-4.938286670774325,13.555475893386463,2416.9557407373263,,,,24.14892644536439,,13.664639334874824,0.18893795898670981,0.04416579237872022,9.465117331737902,-0.24708126122257232,50.00000000000004,7.085077640994725,0.18151888235447713,-134.46155873050134,-8.562248186851154,0.08056215104879305,30.15097194041935,-14.908872825774653,UC San Diego,UC Davis,tri01,NCAA D1,BWC,f2d3b6ef-7454-4df2-9842-b2a4c863b4bd,2a1bfd8b-51b2-4df5-be93-dbf1278b2d47,92.30107220435708,6.447786249281697,0.41361859653967187,-3.4180194775286963,-0.6675571036083408,84.63523626585086,2.7940268924753386,0.17215717708104597,-6.5693854780860255,-0.10960027234014755,0.4065789280096759,0.003087267183397988,14.382271229211687,-39.512852099354205,78.63336003028499,1846.9726929757717,-1523.2227669373774,77.14818804196855,-0.7699522807610751,-0.6362512932671385,-0.048556947666758964,20.285076828403295,84.13447087894221,-7.477812205814024,-0.12387094995254692,0.7488838868372537,2.658698169723312,5.704906153140768,23.465393545548647,0.2684603907147638,-0.14395178297658612,-0.009833148158808785,0.009398002620905222,0.14797103096001502,-0.9889470418295248,,,0.99711754549513,1,0.8667286240310775,46.765552958943765,high,high,19.22997597274354,45.490751280940955,53.97014360020039,Emiliano Gonzalez,gonzaem47,Uc san diego
10,04/06/2023,6:10:43 PM,1,1,Bryan Green,greenbr79,Left,Uc davis,Patrick Hackworth,hackwpa42,Left,Uc san diego,Windup,1,Bottom,0,0,0,Fastball,,BallCalled,,LineDrive,,0,0,,85.51664557629938,-1.2798855393122708,0.9254446460632887,2062.981716873502,151.23735058296458,11:00,6.187831715442624,-1.0399533027488015,6.063431502915155,-22.337962868806667,15.664430939372028,-7.344547989866976,4.004310074296182,-0.20143996122311167,77.5508086496311,-5.516688496841187,0.4258323243883415,0.4454165224484174,,,,,,,,,,,,4.5330930514990895,8.94958067852562,1.134457569407269,49.999999999999986,6.945182958301907,-3.7126574685065434,-123.92503576667109,-3.4198759409944315,7.00728220487913,26.147095244015407,-18.339734535038534,UC San Diego,UC Davis,tri01,NCAA D1,BWC,f2d3b6ef-7454-4df2-9842-b2a4c863b4bd,48002e73-1bb5-4fca-8c1f-7ef9638dbace,85.69559425765131,6.187339210647982,-1.042754502837608,-1.2746511282712067,0.9598664820547775,77.70429372028858,4.00526421815249,-0.19913914837754032,-5.501233507610239,0.4615786429208548,0.4452689312833631,-7.659339122928549,14.193715857499132,15.11963865680407,63.345854670448155,1991.5680630750305,538.0987031148779,96.53832832281711,-0.8462748194325609,0.26083542026265716,0.46452536371094916,,,,,,,,,,,,,,,,,0.9951387202732405,1,,,high,high,32.988730796596656,-49.229454697272665,54.43656849708484,Ryan Lee,lee--ry53,Uc davis
