PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,04/10/2023,6:03:02 PM,1,1,Zack Ernisse,ernisza42,Left,Uc san diego,Irvin Weems,weemsir42,Right,San diego state,Windup,1,Top,0,0,0,Fastball,,BallCalled,,,,0,0,,89.08517106974682,-0.05624352988582698,1.3851546118173776,1882.7145262872525,144.33685893343943,10:45,5.833901852816357,-1.140001617281257,5.999999999999997,-21.597938153779193,13.497199077822234,-8.546912604238377,3.9819498877869206,-0.568677717205069,80.92252942550209,-4.135266695874282,-0.23161286528943564,0.4263782030206233,,,,,,,,,,,,5.045439455658455,7.335803353396195,1.0358760821165947,50.00000000000006,5.817643124628146,-2.8634366035539185,-129.6269803894285,-0.8120269585102143,8.529866956088293,28.715328986979504,-19.77207208326337,UC San Diego,San Diego State,tri01,NCAA D1,BWC,e1db2103-abb0-440f-9733-73c00be8ccab,c35e95df-1697-4fdc-8afd-560cce1c8556,89.27436840629217,5.8329870041658385,-1.142785773973605,-0.046065628528212534,1.418401802502236,81.07694914943563,3.9831274237299557,-0.5664960768471122,-4.116662609719757,-0.19812325793716312,0.4262400254229357,-8.857178238653232,12.086800830943897,-6.728015606802163,57.172184882161936,1869.7491803809426,-220.5719609511316,99.3113482832749,-0.8068637454009475,-0.1171563494472545,0.5790037013195579,,,,,,,,,,,,,,,,,0.9972862765743948,0,,,medium,high,38.545033606054254,3.5976796697843008,54.5,Bradlee Preap,preapbr43,Uc san diego
2,04/10/2023,6:03:16 PM,1,2,Zack Ernisse,ernisza42,Left,Uc san diego,Irvin Weems,weemsir42,Right,San diego state,Windup,1,Top,0,1,0,Fastball,,BallCalled,,,,0,0,,90.75660192457649,-2.6296934385743485,3.145637419548607,1942.8454684711699,148.32383244492974,11:00,5.722090505641825,-1.3737730935409855,5.999999999999997,-19.705365994748053,14.19348511737623,-7.915484914594959,1.6382297744531078,0.8839016588782825,82.75435714965957,-6.330951275114066,1.6524528167750943,0.4190482315313183,,,,,,,,,,,,5.202583219567343,8.456307433747115,1.1308142956220995,49.99999999999996,5.504274831689873,-6.9866341516962045,-131.77983201621745,-6.697927744440618,9.110957611848274,29.08128751890913,-17.36504887807194,UC San Diego,San Diego State,tri01,NCAA D1,BWC,e1db2103-abb0-440f-9733-73c00be8ccab,17fb40cb-4db4-4400-93cb-10b028bd695e,90.94141093202747,5.721516799768079,-1.3762491302133086,-2.6233381486632568,3.1757322997772284,82.90830045410442,1.639114284504878,0.8858940099995859,-6.31679099338937,1.6831678286627594,0.41891956630925975,-8.197471782392899,12.943637522573308,-5.302960699749697,44.59049146585755,1934.5299414806345,-179.56174390412912,99.57199236246623,-0.8473871364618083,-0.09242204118551267,0.5228701629106025,,,,,,,,,,,,,,,,,0.9970308651081493,0,,,medium,high,49.868557680728216,11.858094346102687,54.5,Bradlee Preap,preapbr43,Uc san diego
3,04/10/2023,6:03:31 PM,1,3,Zack Ernisse,ernisza42,Left,Uc san diego,Irvin Weems,weemsir42,Right,San diego state,Windup,1,Top,0,2,0,Fastball,,Foul,,,,0,0,,91.00948526008777,-2.803739729941122,2.9498800206279427,1929.671246378852,147.44382016262148,11:00,5.853503906872883,-1.5697017921522733,5.999999999999997,-19.73409529761319,13.971701028560314,-8.051034523369424,1.6058653564613963,0.49479772292820823,83.01458725561112,-6.508780297293737,1.4307438273041269,0.4178532828242124,,,,,,,,,,,,5.218390333068684,8.385805015318985,1.3422360842177705,50.0,5.621990864185695,-6.549202819458431,-132.15271054128527,-7.1196204054259615,9.191158243082988,29.22531740907224,-17.404119402162735,UC San Diego,San Diego State,tri01,NCAA D1,BWC,e1db2103-abb0-440f-9733-73c00be8ccab,21d2983a-c4cd-4905-9dbf-697818786747,91.19388385984486,5.85286736823932,-1.5722361499824746,-2.796703314390178,2.980495107258321,83.1678840585128,1.6067948808067012,0.49683238353310866,-6.494057262269428,1.461936803879037,0.41772477170375094,-8.337490338113914,12.72525458680259,-5.643687148370985,53.12997886084664,1920.3175608685917,-189.76718504792746,99.51527051419701,-0.8387785944409375,-0.09834171774287323,0.5355178578339533,,,,,,,,,,,,,,,,,0.9969814213747061,0,,,medium,high,42.183019025238046,6.45619422449262,54.5,Bradlee Preap,preapbr43,Uc san diego
4,04/10/2023,6:03:49 PM,1,4,Zack Ernisse,ernisza42,Left,Uc san diego,Irvin Weems,weemsir42,Right,San diego state,Windup,1,Top,0,2,1,Fastball,,InPlay,,FlyBall,HomeRun,0,1,,88.99100065877094,-1.3631993807684009,2.6257803526032495,1849.9263499704675,143.98202212075003,10:45,5.781107459039875,-1.726407772016975,5.999999999999997,-21.809204584535667,13.385462010285,-8.568063232136684,2.699132066853394,-0.005978323139513231,81.03923491421546,-5.4704599502424855,1.0076954006512016,0.4269823765495787,97.26383530261234,32.42218284151679,17.54429709443773,3629.355061228319,,,,366.5918815109401,,31.77879250724573,5.1082037261234055,5.411818416651165,7.654437086472129,1.5247379541795558,50.000000000000014,5.661938256156208,-5.661485091696997,-129.36838936827817,-3.772689854183626,9.126763625803516,28.21729807776115,-19.2652206862963,UC San Diego,San Diego State,tri01,NCAA D1,BWC,e1db2103-abb0-440f-9733-73c00be8ccab,b78be255-bcae-4c07-b35c-701120464f18,89.17569598059461,5.780103178372615,-1.729231968638759,-1.3518785197677299,2.6596571178176887,81.19035714910062,2.700360437686678,-0.0037742308822583796,-5.450933593208817,1.0418211456467594,0.4268485388980975,-8.885159477512508,12.014162568130061,-2.5704485596463194,51.554302196187066,1848.0650165391828,-82.96502250398338,99.89938337646174,-0.8080187033266607,-0.04484774353601042,0.5874474061343959,24.749194965133533,78.28332865234358,52.14836010327333,-0.020884230171180646,0.4710625329807884,2.6103915495721033,193.06238092410243,311.63524297108614,86.31722830056361,-26.569209649493818,0.9369069584177288,0.7832875151563151,0.27616016186367187,-0.5569526313787161,,,0.9978862569271983,0,0.9898063261662522,54.68343461745136,medium,high,43.601128023431805,18.734875220589927,54.5,Bradlee Preap,preapbr43,Uc san diego
5,04/10/2023,6:04:30 PM,2,1,Zack Ernisse,ernisza42,Left,Uc san diego,Shaun Montoya,montosh42,Left,San diego state,Windup,1,Top,0,0,0,Fastball,,StrikeCalled,,,,0,0,,92.20444953611454,-2.574393410893021,1.667535452962026,2034.6780595100324,150.70450828146255,11:00,5.869290507324885,-1.3232423187439744,5.999999999999997,-17.976285057105986,14.818970689876199,-7.4519418568149085,1.9835278368758607,-0.39886466409165816,84.00398354386388,-5.954359983764038,0.25908470061930544,0.41217062180985664,,,,,,,,,,,,4.527455202411227,8.78695923656998,1.1963272358196584,49.99999999999999,5.657010332309532,-3.6572267577799455,-134.0251255683742,-6.618480570954898,8.19365386100937,30.326330542313286,-16.271671924281925,UC San Diego,San Diego State,tri01,NCAA D1,BWC,e1db2103-abb0-440f-9733-73c00be8ccab,6e535477-0f4e-4341-938f-d5279c6a59c5,92.39461934187133,5.869143388648527,-1.3257368130941756,-2.573309767344202,1.6976287472872698,84.1613628566328,1.9840548758596015,-0.3969197132474938,-5.945677434895694,0.289341171386343,0.412042158162954,-7.733526848075148,13.626721297820998,-1.5015798771805857,55.88077154513361,2033.9793567302984,-53.31774795049998,99.96566027846674,-0.8718082970932065,-0.026204513142162322,0.48914580301830823,,,,,,,,,,,,,,,,,0.9925047407939681,0,,,medium,high,39.70730560937975,-42.65317077190449,54.5,Bradlee Preap,preapbr43,Uc san diego
6,04/10/2023,6:04:41 PM,2,2,Zack Ernisse,ernisza42,Left,Uc san diego,Shaun Montoya,montosh42,Left,San diego state,Windup,1,Top,0,0,1,Slider,,BallCalled,,,,0,0,,81.22306490102909,1.640093555476641,-1.8155422838292292,2259.3943857737163,322.4996386329722,4:45,4.975544291538885,-0.9476250541233212,6.381607600194429,-46.65989805670042,-5.773844023083001,6.995324131220001,3.4433905231855744,-1.2525581549429168,74.8795992963642,-7.248189813677132,1.6189065001532343,0.46446835882586024,,,,,,,,,,,,-4.382520195549827,-4.04059433273775,1.074913229108081,49.99999999999994,5.071117677246436,3.5587903187063152,-118.18848327122329,2.0951874019247794,-6.1582015554948955,23.90616658860759,-37.85178595564785,UC San Diego,San Diego State,tri01,NCAA D1,BWC,e1db2103-abb0-440f-9733-73c00be8ccab,c4bb2673-bb59-44ed-a1d3-b65dc3376fa0,81.32580021683056,4.966895366254304,-0.9494261792448658,1.7483421058354751,-1.792413622842164,74.94896832717119,3.4506964973704,-1.2512916980105613,-7.136361516407432,1.6381146816811185,0.46437336001636464,6.769689095415455,-8.278034959388627,60.54528873849816,39.5662067767675,1111.024283917906,1967.355593432589,49.1735436236132,0.39011806285872175,0.8707446587545979,-0.2993520273552485,,,,,,,,,,,,,,,,,0.9972573244324875,1,,,high,high,54.390413900909245,-58.412317507243365,54.11839239980557,Bradlee Preap,preapbr43,Uc san diego
7,04/10/2023,6:04:56 PM,2,3,Zack Ernisse,ernisza42,Left,Uc san diego,Shaun Montoya,montosh42,Left,San diego state,Windup,1,Top,0,1,1,Fastball,,StrikeCalled,,,,0,0,,91.34774904673361,-2.6309010434217126,2.3679489049363607,1982.5286986664946,149.32456795402993,11:00,5.752910525620139,-1.1823065653619353,5.999999999999997,-18.930663884020145,14.499821709724682,-7.70509193893179,1.734081551385144,0.3707071282298864,83.26792099023531,-6.188350240211165,0.9127883448553582,0.41614325988467077,,,,,,,,,,,,4.865949857743179,8.626203172321596,1.0004528145001743,49.99999999999995,5.535564098390647,-5.237803304614645,-132.7210448887997,-6.71918381503043,8.63993801044483,29.609914553271995,-16.857438676875674,UC San Diego,San Diego State,tri01,NCAA D1,BWC,e1db2103-abb0-440f-9733-73c00be8ccab,53d85eb1-664d-4ced-a4d1-3601e4f72980,91.53633151445253,5.75253147370719,-1.1848798787370296,-2.6270261998315347,2.3986767562669016,83.42267182340153,1.7347950196825093,0.37269804238946636,-6.176825529995662,0.943529510736475,0.4160130225611324,-7.992537478093731,13.273972142225354,-2.339277621638704,89.29325189259171,1980.8765564322036,-80.9203881204193,99.91666490198088,-0.8593543680008694,-0.04081675497300426,0.5097490193333383,,,,,,,,,,,,,,,,,0.9972295393488569,0,,,medium,high,9.636073296667451,13.874165261400819,54.5,Bradlee Preap,preapbr43,Uc san diego
8,04/10/2023,6:05:10 PM,2,4,Zack Ernisse,ernisza42,Left,Uc san diego,Shaun Montoya,montosh42,Left,San diego state,Windup,1,Top,0,1,2,Slider,,InPlay,,LineDrive,Single,0,0,,82.03031892284037,0.6229752250725142,-1.838921129609496,2232.8752315361207,328.28544651505814,5:00,4.968394974229127,-0.7107058265600052,6.51075692308816,-47.826718861618,-7.197282254942131,6.471177578992425,2.229599842272322,-0.36730204740296774,75.2249460940536,-8.844230883630756,2.753599889021463,0.45879340702845295,96.86110885634373,7.590344306825498,2.7047184971111795,1679.6301393391527,,,,144.69606522049082,,-0.410928269240667,1.1728982771112366,-3.2870968585489244,-3.4603858797545146,2.1694835314222325,49.99999999999997,6.086024751352173,-3.2332778404651856,-119.45890783277596,-1.1628673706507522,-4.709710587036821,24.832703288816422,-37.13204647943714,UC San Diego,San Diego State,tri01,NCAA D1,BWC,e1db2103-abb0-440f-9733-73c00be8ccab,547518c3-e14f-49f5-bd64-f50d98a10966,82.13010941516802,4.959657501685547,-0.7125236516806991,0.731479145851558,-1.8158190776648926,75.28933652840045,2.236991563032805,-0.3659970616263026,-8.732318996806098,2.773333814599164,0.4587050570089137,6.257716943786532,-9.667746896879713,59.062097058838326,20.269923778973215,1147.9407352042062,1915.1929062280674,51.41087683678918,0.4373408177926425,0.8577249992201751,-0.2702606793546062,4.530701243991342,95.90543529779502,12.794320437546402,0.3214911503272112,0.7788879691538406,2.141095527084261,-1.0377587040860206,144.69234377521374,-8.49390649533661,-7.3979948962434525,-0.06974204381285465,-0.12639235259355364,-0.2937159564879065,0.9474998206386431,,,0.9975058927130888,1,0.9975032263688169,57.14821038735904,high,high,71.7570685989241,-57.310882207373766,53.98924307691184,Bradlee Preap,preapbr43,Uc san diego
9,04/10/2023,6:05:43 PM,3,1,Zack Ernisse,ernisza42,Left,Uc san diego,Tj Fondtain,fondttj42,Left,San diego state,Stretch,1,Top,0,0,0,Fastball,,Foul,,,,0,0,,90.21224062458364,-1.7558874255483103,2.3389813352346205,1947.5909213886673,148.66504706378888,11:00,5.788176084633135,-1.3998222398521039,5.999999999999997,-19.91508676270483,14.336088282697702,-7.8210644416011466,2.499926334987304,0.11664390190561738,82.14258772622031,-5.505587732593578,0.8614986763788405,0.4212202679749822,,,,,,,,,,,,4.924264533519155,8.285656917482717,1.220309337461731,49.99999999999998,5.639180939310724,-5.105613422809973,-131.14628873760964,-4.663204465538364,8.532947965242514,29.04065548470371,-17.81635640086058,UC San Diego,San Diego State,tri01,NCAA D1,BWC,e1db2103-abb0-440f-9733-73c00be8ccab,2f77a08d-218a-45f8-93ff-ac2864d3c0b9,90.4006459677077,5.787632658491615,-1.402373585843899,-1.750089230903975,2.3696135248070744,82.29711266124498,2.5007865983301167,0.11863695532603406,-5.491804255944487,0.8922680772046044,0.42108720384625903,-8.107668239449891,13.044690779541382,-4.253951113501738,82.1595829637988,1942.2254489422128,-144.4669600869977,99.72450721619565,-0.8517886428719879,-0.07417726099482438,0.5186075990820063,,,,,,,,,,,,,,,,,0.9879341387876316,0,,,medium,high,16.056375332581183,-8.804671527896135,54.5,Bradlee Preap,preapbr43,Uc san diego
10,04/10/2023,6:06:00 PM,3,2,Zack Ernisse,ernisza42,Left,Uc san diego,Tj Fondtain,fondttj42,Left,San diego state,Stretch,1,Top,0,0,1,Fastball,,Foul,,,,0,0,,90.25556624207267,-1.1532585812000202,3.387125549069889,1972.2096969894271,150.4148393986727,11:00,5.859433567991446,-1.627317412846375,5.999999999999997,-19.5900386523026,14.676053864835087,-7.510926497400517,3.1564461569651447,0.8885332668185074,82.07371537686352,-4.845044461170471,1.9701411043031827,0.4213119853746345,,,,,,,,,,,,5.064708364654762,8.294316720833422,1.3651046489236451,49.999999999999964,5.7579356299523,-7.519478092866409,-131.1233220303674,-3.2731253308877304,8.772256241207584,29.05939089785345,-17.807996028275927,UC San Diego,San Diego State,tri01,NCAA D1,BWC,e1db2103-abb0-440f-9733-73c00be8ccab,42298e1b-4b20-483e-8a47-881c7d230a4f,90.44573139143516,5.859042389849505,-1.6297272055258738,-1.1492429168705174,3.416243512592516,82.23179076567467,3.157200059927543,0.8904509644749593,-4.832769905099731,1.999779319732994,0.42117839309847027,-7.783866546169006,13.397734654804283,-3.83277253720614,75.2931619660016,1967.798647076515,-131.83161025704663,99.77633971074954,-0.8676778285538767,-0.06684462126836067,0.49261240589688643,,,,,,,,,,,,,,,,,0.9931838947973676,0,,,medium,high,22.23615423059845,-12.957816576560392,54.5,Bradlee Preap,preapbr43,Uc san diego
