PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,04/21/2023,6:03:57 PM,1,1,Donovan Chriss,chrisdo44,Right,Uc san diego,Zander Darby,darbyza42,Left,Uc santa barbara,Windup,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,88.35905168940903,-1.9888242415707207,-4.8454088147480245,1946.8618921344485,231.3787966552747,1:45,4.59546340755578,1.4729084400458738,6.7227761505081185,-24.80543083031959,10.010490627493706,8.957952998791429,1.1814820542207827,-1.4018254538568067,80.71817541624033,-7.556449627165504,-2.0721616025612715,0.4246786903748917,,,,,,,,,,,,-6.364964910776029,6.135693753691527,-1.1562790290084741,49.999999999999964,4.45394741602907,10.629305510909319,-128.25625462521134,-5.142745965274852,-10.576873134433068,27.116264051243412,-21.97816393160188,UC San Diego,UC Santa Barbara,tri01,NCAA D1,BWC,d4bb88fe-cf7a-4971-9e82-23da52678d4b,029a66d2-1e69-4b84-a753-b44afebd0efe,88.53230434565768,4.593567497448348,1.4771246664655269,-1.967903719198238,-4.893365328281747,80.85522883492204,1.1833545207035916,-1.4048249340272678,-7.526744415797733,-2.119162504072822,0.4245413554795854,9.394442324932287,8.671714482038654,-38.21146842019862,21.808704343206013,1529.713814336951,-1204.2619620630808,78.57330920684078,-0.49043005749868235,-0.6185656861066731,-0.6138850467907,,,,,,,,,,,,,,,,,0.9958028614469371,1,,,high,high,70.37216609111458,-1.0990103045177926,53.77722384949188,Emiliano Gonzalez,gonzaem47,Uc san diego
2,04/21/2023,6:04:10 PM,1,2,Donovan Chriss,chrisdo44,Right,Uc san diego,Zander Darby,darbyza42,Left,Uc santa barbara,Windup,1,Top,0,1,0,Fastball,,InPlay,,GroundBall,Out,1,0,,88.0081054873923,-0.8231205780250661,-3.0824329284470724,1941.6409323671771,223.43358698960174,1:30,4.578674888673426,1.435026997275735,6.572727859722103,-24.214933225199292,10.855333786384382,7.956616940836298,2.1220684927065503,0.08087469791855552,80.51004623692461,-6.40815589068853,0.3058679517043889,0.42679023526617793,99.89169803201669,-4.104894293565044,37.396700006066126,,,,,25.884544312290508,,34.316439633586526,0.1723823242715521,-5.384879086376032,6.382919401804575,-1.2270139178355208,49.99999999999999,4.511882783463506,6.667922520189816,-128.04151260754438,-2.515203474006513,-8.905521147540645,27.37844435507355,-21.617967860853405,UC San Diego,UC Santa Barbara,tri01,NCAA D1,BWC,d4bb88fe-cf7a-4971-9e82-23da52678d4b,bd4f3d5a-6d08-4085-9da4-2020d812008b,88.18637921437832,4.577111983431166,1.4388997437031716,-0.8059749404100058,-3.1269020150485582,80.65326681042986,2.1237918106004225,0.07801988042011859,-6.3813373292138085,0.2619255691202554,0.426645804954202,8.368337985934234,9.463170431682412,-36.927182375529235,7.3543927658016806,1552.147203113065,-1166.5369990325944,79.93997125002636,-0.5805015065739499,-0.6007995503114962,-0.549597945057001,60.51160197672762,79.15533802471012,-7.150512158131056,-0.2116508365612612,1.7889139879414193,2.198336776031152,14.592749768353926,21.37899175483113,,,,,,,,,0.9412295236115165,1,,56.08915093019931,high,high,83.38104651077848,-9.777361920960828,53.92727214027789,Emiliano Gonzalez,gonzaem47,Uc san diego
3,04/21/2023,6:05:29 PM,2,1,Donovan Chriss,chrisdo44,Right,Uc san diego,Josh Williams,willijp85,Left,Uc santa barbara,Windup,1,Top,1,0,0,Fastball,,BallCalled,,,,0,0,,88.30786117019336,-0.8599052899339553,-2.271012842618445,1940.506431823207,229.50036193365048,1:45,4.636484434123413,1.4464015973500413,6.572500018852857,-24.598773456957204,10.307214641971647,9.493476540550583,2.4613048133397974,0.9138020677817015,80.40764241844072,-5.970910652765905,0.9252306576653311,0.4252276443640629,,,,,,,,,,,,-5.91561700186536,5.954563596178275,-1.294704018206049,50.00000000000007,4.566977005880033,4.831702066524519,-128.55502515794927,-2.6214660518889064,-9.853405273123169,27.811729383739284,-22.255772537430236,UC San Diego,UC Santa Barbara,tri01,NCAA D1,BWC,d4bb88fe-cf7a-4971-9e82-23da52678d4b,88218fd1-45ac-4a2f-9c97-e36114e79cfe,88.47786082472197,4.634901982777402,1.4502072405960356,-0.8410831345233428,-2.3179683814345196,80.54885238708201,2.4631343700693007,0.9106886066279133,-5.9421591677456345,0.8767857772400579,0.42509061474776494,9.919663573919253,8.906040593752179,-32.2989927481678,22.04521011424393,1640.2542472607486,-1036.8853438496997,84.52712242337914,-0.5489556866726393,-0.5343374939888716,-0.6427527491870133,,,,,,,,,,,,,,,,,0.9950301303708438,1,,,high,high,70.15931089718046,1.0835548800295765,53.92749998114714,Emiliano Gonzalez,gonzaem47,Uc san diego
4,04/21/2023,6:05:43 PM,2,2,Donovan Chriss,chrisdo44,Right,Uc san diego,Josh Williams,willijp85,Left,Uc santa barbara,Windup,1,Top,1,1,0,Fastball,,BallCalled,,,,0,0,,87.89794937935613,-0.7382723806627595,-1.9799003430072821,1946.4971468072329,225.43952445257034,1:30,4.563207291672341,1.4974088429789332,6.552668053703698,-24.823306087851144,10.40197323212098,8.141450488433275,2.3106312672798044,1.2956951347607022,80.1143253480196,-6.228500404065928,1.6044412680391984,0.42716803327388886,,,,,,,,,,,,-5.07503654838601,5.965175938108736,-1.3644649407635252,50.000000000000036,4.50159877409444,4.195845665892294,-127.98664553473554,-2.347204152313209,-8.383910941751777,27.41363003211912,-22.31963704331808,UC San Diego,UC Santa Barbara,tri01,NCAA D1,BWC,d4bb88fe-cf7a-4971-9e82-23da52678d4b,4d853856-dfaf-4173-a2cb-bd8c24b06d33,88.07496629903332,4.56142241122545,1.5014355044237613,-0.7185985520011648,-2.026005199786384,80.25534008030304,2.3125215872109157,1.2927690205453546,-6.19878337035597,1.558718227739318,0.42702278059480164,8.559442563184827,8.993580775578067,-39.875368900980966,19.545433952197897,1493.8213900770018,-1247.9378177926628,76.74408321261922,-0.538483844856026,-0.6411197775653609,-0.5468094546033505,,,,,,,,,,,,,,,,,0.9945057963213979,1,,,high,high,72.40910944302188,1.6982948405167393,53.9473319462963,Emiliano Gonzalez,gonzaem47,Uc san diego
5,04/21/2023,6:05:58 PM,2,3,Donovan Chriss,chrisdo44,Right,Uc san diego,Josh Williams,willijp85,Left,Uc santa barbara,Windup,1,Top,1,2,0,Fastball,,Foul,,,,0,0,,87.8747549784447,-0.5394459779448896,-3.487798080609871,,,,4.732919860044389,1.3518020164771416,6.284926480577417,,,,5.3861575754871325,-1.1253893495104854,63.856151933343504,72.68851711831414,0.7919447600861333,,,,,,,,,,,,,,,,,,,,,,,,UC San Diego,UC Santa Barbara,tri01,NCAA D1,BWC,d4bb88fe-cf7a-4971-9e82-23da52678d4b,a6fb1122-4b58-466d-8ae5-31c3995d0be3,88.01426162145866,4.728567702558779,1.3518020164771372,-0.4868430500529341,-3.4877980806098434,68.54208028944385,5.721150593454251,-1.1253893495104894,73.16288911367373,0.7919447600860703,0.4276270976715,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,high,,,54.21507351942258,Emiliano Gonzalez,gonzaem47,Uc san diego
6,04/21/2023,6:06:20 PM,2,4,Donovan Chriss,chrisdo44,Right,Uc san diego,Josh Williams,willijp85,Left,Uc santa barbara,Windup,1,Top,1,2,1,Changeup,,Foul,,,,0,0,,83.51345834447658,0.43318767214777304,-2.2324803457070486,1475.556399296897,247.02911294316277,2:15,4.532255203971862,1.440428175729036,6.548721085675591,-32.61197880909488,6.5303014544791225,10.81991541580566,2.6066684858871465,0.9898654626576932,76.26614096799415,-6.783929849401078,1.2199711007578329,0.449808586772753,,,,,,,,,,,,-6.672477649497546,3.5164986507304348,-1.2910981196144453,50.00000000000004,4.548121318865499,4.449232495978159,-121.58391605673646,0.05360586984699782,-9.941061255908458,24.88479554850368,-26.93495695361582,UC San Diego,UC Santa Barbara,tri01,NCAA D1,BWC,d4bb88fe-cf7a-4971-9e82-23da52678d4b,9473d58e-da9e-4a17-ba7a-c58426a9aa52,83.6699705996942,4.528651031098665,1.4445567672370103,0.4751308260722295,-2.2814895715886854,76.38800000710226,2.610046695787019,0.9866329739061372,-6.7321614841499,1.1702968232502333,0.44966859286587857,11.279552581772084,4.729946693771336,-18.574884306722748,13.317592717516677,1398.691913552438,-470.0293804317375,94.79081343274409,-0.3699338079465645,-0.3185438256753226,-0.8727421204813504,,,,,,,,,,,,,,,,,0.9140620922330724,1,,,high,high,101.98583344576501,-27.447341042029038,53.951278914324405,Emiliano Gonzalez,gonzaem47,Uc san diego
7,04/21/2023,6:06:39 PM,2,5,Donovan Chriss,chrisdo44,Right,Uc san diego,Josh Williams,willijp85,Left,Uc santa barbara,Windup,1,Top,1,2,2,Fastball,,Foul,,Popup,,0,0,,88.854496928383,-1.356054204681954,-4.020147118692863,2063.853093914402,227.15876709095414,1:30,4.625027311854974,1.331851484669647,6.571108437961295,-24.0583721059168,10.496908395663556,8.20634945734205,1.7051853070619094,-0.5767810383453738,81.07857101389673,-6.905283103729433,-0.4025921925416586,0.4230860770626459,77.4970854296351,51.0314423290454,-110.33728480546861,,,,,256.30566586579624,,-110.03119446649114,4.849963743530308,-5.6929173038690815,6.19571278373847,-1.0592424342780227,50.0,4.521490764173532,8.84317565550688,-129.1247840871418,-3.7435624233160656,-9.582961063493018,27.633930731113114,-21.74472641160577,UC San Diego,UC Santa Barbara,tri01,NCAA D1,BWC,d4bb88fe-cf7a-4971-9e82-23da52678d4b,229b219f-25e6-4b7a-ba2c-992c38aa4f4c,89.03057643674192,4.62343804601489,1.3358554229013813,-1.3382489803902655,-4.066785323817983,81.22035433886226,1.70697450909771,-0.5797942084473703,-6.877298980689268,-0.44921971672832567,0.42294697861188396,8.631088683273852,9.169571745425307,-43.36724087561331,22.719632547774818,1500.353903149933,-1417.1900925997227,72.696739296705,-0.49431540535488555,-0.6866719810525915,-0.533042090707802,-45.699290982703644,-16.93849690832488,60.253301787146995,1.2258131441776514,2.1717476775932076,1.5906598596155426,-240.80078011044588,-87.79281663729594,,,,,,,,,0.751513122532186,1,,25.543082087038957,high,high,69.55233070700268,-2.8142211225084033,53.9288915620387,Emiliano Gonzalez,gonzaem47,Uc san diego
8,04/21/2023,6:06:59 PM,2,6,Donovan Chriss,chrisdo44,Right,Uc san diego,Josh Williams,willijp85,Left,Uc santa barbara,Windup,1,Top,1,2,2,Slider,,StrikeSwinging,Strikeout,,StrikeoutSwinging,1,0,,77.2103510140874,1.7622000557561308,-0.4513744629632114,2076.365702420162,98.00636710951319,9:15,4.555021326447745,1.3630379753639947,6.51023300993167,-41.92674937910546,3.8522209630594872,-10.050334925586188,3.3247009980152264,-0.03367085650381539,70.25403211829813,-6.581627281919123,-2.684623857633974,0.4869726075219114,,,,,,,,,,,,5.417484714516259,1.6085396606536784,-1.3271880487262226,49.999999999999964,4.659343378022798,1.1355312225725718,-112.42571024222585,2.4167896043852277,6.894422793072203,21.46218415306104,-30.12698289649821,UC San Diego,UC Santa Barbara,tri01,NCAA D1,BWC,d4bb88fe-cf7a-4971-9e82-23da52678d4b,63c42b4a-860e-43b9-80a6-3f040c86235c,77.33607822195181,4.5488195061645875,1.363081977335213,1.8373129005170776,-0.45228681905923984,70.34662332937744,3.3303133355664443,-0.033479128541003676,-6.495882347987332,-2.6813752615189297,0.48684270658874024,-10.038374926805519,1.5359770857888395,-61.6353144625338,17.955157948983867,986.4438370875067,-1827.0804816588811,47.508193568104666,-0.06617090644066391,-0.8799415630537916,0.4704511204697796,,,,,,,,,,,,,,,,,0.9936622294068228,1,,,high,high,73.84035784591453,46.01425452402717,53.989766990068325,Emiliano Gonzalez,gonzaem47,Uc san diego
9,04/21/2023,6:07:28 PM,3,1,Donovan Chriss,chrisdo44,Right,Uc san diego,Broc Mortensen,mortebr45,Left,Uc santa barbara,Windup,1,Top,2,0,0,Fastball,,StrikeCalled,,,,0,0,,87.20308235555586,-0.23859023551445532,-2.4499833853639097,1985.691832144119,220.1716063032384,1:15,4.506016089393644,1.565079571142149,6.672069313369122,-24.89524035360047,10.731065998620785,6.851454909898712,2.8314012160937465,0.5406806720267453,79.74220955353587,-5.413244916895064,-0.23807197235475874,0.42959272831904577,,,,,,,,,,,,-4.511945412039628,6.027465435163514,-1.404090466670827,50.000000000000064,4.479908622664613,5.24669854047075,-126.97150432058035,-1.204880578462811,-7.338413594926833,26.898239388880846,-22.370731891967793,UC San Diego,UC Santa Barbara,tri01,NCAA D1,BWC,d4bb88fe-cf7a-4971-9e82-23da52678d4b,7a3ae3f5-d0d1-4f22-aa25-bcdd0e018d49,87.3783320102816,4.504348198456173,1.5687080996979246,-0.21966221272090458,-2.4929242151044355,79.88565810537392,2.833189230236343,0.5379647120297348,-5.384735527144248,-0.28072470677645955,0.42944763959119814,7.240388648298883,9.32862856200646,-46.01677370755269,46.774581027356696,1378.9592134505754,-1428.7909363807005,69.44477441706535,-0.5306384936657255,-0.7195431402051518,-0.4479737251490084,,,,,,,,,,,,,,,,,0.9802244439820389,1,,,high,high,47.90287707537898,8.601244409463462,53.82793068663088,Emiliano Gonzalez,gonzaem47,Uc san diego
10,04/21/2023,6:07:43 PM,3,2,Donovan Chriss,chrisdo44,Right,Uc san diego,Broc Mortensen,mortebr45,Left,Uc santa barbara,Windup,1,Top,2,0,1,Changeup,,BallCalled,,,,0,0,,84.82794517410044,-2.250942748197614,-3.11494020773385,1489.6365074452087,252.3500911336459,2:30,4.442040635329028,1.4775408227464992,6.683875969587648,-32.14373754435979,5.597590465574683,11.445164670904736,0.35690598624007414,0.20709852275845522,77.2733165647103,-8.790977782901013,0.4617048634340759,0.44216067165278133,,,,,,,,,,,,-7.260816659192951,3.7625747198643547,-1.27450862332532,50.0,4.278789286646773,6.411747046937464,-123.34974264318255,-5.700695268950743,-11.141958641600947,25.451992003223044,-26.40025665299931,UC San Diego,UC Santa Barbara,tri01,NCAA D1,BWC,d4bb88fe-cf7a-4971-9e82-23da52678d4b,b976e91e-7277-4ed2-967b-fd57d28076c8,84.9765152537255,4.4380841946420215,1.4817675597425461,-2.205735829400792,-3.16395696848423,77.38597348395444,0.3603482207086001,0.203954806906316,-8.737857709750548,0.41255617362536684,0.44203046129072227,11.889483926939414,3.896583869533296,-12.022691802367802,9.920192329456567,1456.9616001299573,-310.2898968067013,97.80651809002116,-0.29654943677147666,-0.20829906843439405,-0.9320246400390301,,,,,,,,,,,,,,,,,0.9227395338560943,1,,,high,high,98.9281730965109,-26.283883695640387,53.816124030412354,Emiliano Gonzalez,gonzaem47,Uc san diego
