PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,05/02/2023,6:18:59 PM,1,1,Ethan Holt,holt-et43,Right,Uc san diego,Ryan Sepede,sepedry42,Right,Brigham young,Windup,2,Top,0,0,0,Fastball,,StrikeCalled,,Popup,,,,,86.48672902028487,-3.015344389407145,-3.3290091961022474,1637.4576329326062,229.26587521950103,1:45,5.5017391925660295,1.1927136199936277,6.194510538331969,-28.91589358412581,9.04186850338975,7.199608379733849,1.4918091677401175,-0.640217662532002,78.23246272856993,-7.765073752251201,-1.1087512321407977,0.43782011765113243,,,,,,,,,,,,-4.797057835490944,5.8043229856399225,-0.9458589858863385,50.00000000000001,5.260383824286123,7.094505250695069,-125.57486093332716,-7.455751689126601,-7.646450269692437,25.843946676272246,-22.922031248725528,UC San Diego,Brigham Young,tri01,NCAA D1,BWC,61a0601c-a662-4a32-9588-1d160fd9263c,d510b5a9-a3b0-4bc1-8acc-00d01b5b8bd5,86.6471646904174,5.499337127115853,1.196021158757111,-2.98671337935262,-3.3694086737005065,78.36618410683255,1.49439622331351,-0.6430099794572298,-7.725219088187722,-1.1516805842466717,0.43768301250082886,7.60547415924155,7.490235535425417,-42.9689221236677,11.14706288049753,1198.1662516105432,-1116.09369371518,73.17235130320205,-0.47748605052731047,-0.6816015701831082,-0.5544604323806634,,,,,,,,,,,,,,,,,0.9931357367163726,1,,,high,high,100.03235659244777,31.8749246867837,54.30548946166803,Bradlee Preap,preapbr43,Uc san diego
2,05/02/2023,6:19:13 PM,1,2,Ethan Holt,holt-et43,Right,Uc san diego,Ryan Sepede,sepedry42,Right,Brigham young,Windup,2,Top,0,0,1,Changeup,,Foul,,,,0,0,,79.10091107567536,-1.3080305695466818,-1.6606335722591892,1725.7008879619266,118.7665185703584,10:00,5.306977658765442,1.6203190232292208,5.873826785728435,-40.51170093421792,4.792264312141931,-5.745465757289489,1.586520195997555,0.05127735105745932,72.28562881018904,-9.046243037349443,-1.9101875985168022,0.48075683966119864,,,,,,,,,,,,2.552828126883881,3.043464738805478,-1.4829520249218953,50.0,5.178356405402513,3.4978833742685764,-115.05975156693276,-3.774035442187898,3.413266696749484,21.870177018077424,-28.104775698620653,UC San Diego,Brigham Young,tri01,NCAA D1,BWC,61a0601c-a662-4a32-9588-1d160fd9263c,fab2019a-0f4f-4c82-b366-f7eb0e90a696,79.22846671920891,5.301858972196907,1.6218194552685794,-1.2461253804617385,-1.6793129740783495,72.38144358057639,1.5913976672664958,0.0501942272826793,-8.972495408124505,-1.9265167503929848,0.48062540579995955,-5.553213450850244,2.670422291447499,-74.80920867575794,42.91884506387347,452.1924184201167,-1665.402525348136,26.20340648686583,-0.12610166964267686,-0.9650586245655793,0.22969592957847873,,,,,,,,,,,,,,,,,0.9741311633239578,1,,,high,high,51.373039442513885,12.627687036642188,54.62617321427156,Bradlee Preap,preapbr43,Uc san diego
3,05/02/2023,6:19:30 PM,1,3,Ethan Holt,holt-et43,Right,Uc san diego,Ryan Sepede,sepedry42,Right,Brigham young,Windup,2,Top,0,0,2,Changeup,,BallCalled,,,,0,0,,79.23451369045003,-3.3697544571678755,-2.3595998860079317,1743.2297518215714,103.3341826568398,9:30,5.374764232962731,1.3738599248370378,6.007341244156123,-40.55457231387496,3.8398914930558803,-5.716000088666091,-0.03985176796392838,-1.624406481125196,73.22929842705155,-10.467660490902958,-3.556750395082701,0.4797496854069845,,,,,,,,,,,,2.481950452195365,3.0116211889714295,-1.1855396007161751,49.99999999999999,5.08772301685697,4.905253444341176,-115.05524758641968,-7.925932698596566,3.315946775716722,22.005932565456607,-28.150449694061503,UC San Diego,Brigham Young,tri01,NCAA D1,BWC,61a0601c-a662-4a32-9588-1d160fd9263c,846eebbe-3af7-4901-b5a7-9fc9a7f5b492,79.35029902971867,5.369335880657277,1.375424766672857,-3.303314027936177,-2.379303481381562,73.31920592772293,-0.034851068133603745,-1.6255563822396017,-10.392372357657354,-3.574120746810955,0.4796266285309939,-5.514745558541972,1.7106973307853572,-78.12497438472877,27.508699863741793,358.71769776368643,-1705.922501448122,20.57776362460816,-0.0474585568776681,-0.9785987760164914,0.2002301699497701,,,,,,,,,,,,,,,,,0.9946798586988237,1,,,high,high,65.2421701226324,26.707167438306318,54.49265875584388,Bradlee Preap,preapbr43,Uc san diego
4,05/02/2023,6:19:47 PM,1,4,Ethan Holt,holt-et43,Right,Uc san diego,Ryan Sepede,sepedry42,Right,Brigham young,Windup,2,Top,0,1,2,Fastball,,StrikeSwinging,Strikeout,,StrikeoutSwinging,2,0,,86.32289305933435,-1.4859332781680064,-1.6131116107727703,1720.362973214999,230.73678048769168,1:45,5.414355265670283,1.2777926627904557,6.035816724344912,-29.217894618060832,8.005782459409538,6.565902751584134,2.8323988416055395,0.06054556330666293,78.40618666692767,-6.0086673738060306,-0.5776433650006871,0.4391179177620319,,,,,,,,,,,,-4.021215969638146,4.76618519445955,-1.1556333059652972,50.00000000000005,5.282670164495122,3.335914130197378,-125.59325703357537,-4.153590597137426,-6.407518110272406,26.00430877245308,-24.579476655573707,UC San Diego,Brigham Young,tri01,NCAA D1,BWC,61a0601c-a662-4a32-9588-1d160fd9263c,19d96d2d-af8c-4cac-86a8-6fc3ab3d9215,86.48484436869583,5.411757927328192,1.2812576643680105,-1.454414414317966,-1.6560828963135,78.5439250410137,2.8351461063875645,0.05757002101618074,-5.966540910850612,-0.6229758516634699,0.43897906739624326,6.960283292884036,6.472712323971693,-51.750480438662386,6.867972669729248,1065.054967661544,-1351.0391095259306,61.90873578679612,-0.39181047268706765,-0.7853221271096765,-0.47932630865066195,,,,,,,,,,,,,,,,,0.992823724699902,1,,,high,high,83.81882459724368,23.732705200481043,54.46418327565509,Bradlee Preap,preapbr43,Uc san diego
5,05/02/2023,6:20:18 PM,2,1,Ethan Holt,holt-et43,Right,Uc san diego,Cooper Vest,vest-co43,Left,Brigham young,Windup,2,Top,2,0,0,Fastball,,InPlay,,LineDrive,Out,1,0,,87.006125381714,-2.5681011004816883,-2.0469121273057826,1558.8998667037702,236.86795653787354,2:00,5.32714371684047,1.3597596483889167,6.2383183258524255,-29.079447647984388,7.332915452063389,7.42984893405133,1.6928112345450699,0.28595718960864547,78.82861613136572,-7.382597586484117,-0.21450563600116196,0.434306125603078,96.25499847909401,22.180197116961562,3.082427780974289,3611.9560648583,,,,369.35959604548395,,-5.2236509851831086,4.5794767385396655,-4.642110105613207,4.738090795112751,-1.2111434911558916,49.99999999999997,5.121400931223971,4.30133920441968,-126.51488844243092,-6.540566163410582,-7.506900348924012,26.35292520428548,-24.511935884720803,UC San Diego,Brigham Young,tri01,NCAA D1,BWC,61a0601c-a662-4a32-9588-1d160fd9263c,3d607909-de34-45cd-9276-ddd36ee2c122,87.16398803953028,5.324365273497926,1.3631914576813433,-2.5348633943537546,-2.088910651929638,78.9589096683889,1.6956346851247124,0.2831073238373827,-7.3389795693390525,-0.258569797670174,0.43417281677417807,7.813857541867678,5.82588983142435,-44.06998811266989,9.95059313903301,1120.0550843776389,-1084.271830478332,71.84907179098998,-0.39270574574745265,-0.6955365470464632,-0.601673590063267,4.792869083466803,89.00328076498718,36.33826015686494,-0.266519962286205,2.9101462871757566,1.9797354919456818,-33.627849907902856,367.8256093605428,-49.46283673211376,66.37993109101468,1.558010977821172,0.8873484938665057,-0.11456471167781156,0.4466403220389126,,,0.9966438750328346,1,0.9951338826468222,55.43561108046455,high,high,81.04446617487031,18.3623379801544,54.261681674147574,Bradlee Preap,preapbr43,Uc san diego
6,05/02/2023,6:21:38 PM,1,1,Jake Porter,porteja57,Right,Brigham young,Crew Robinson,robincr42,Left,Uc san diego,,2,Bottom,0,0,0,Changeup,,StrikeCalled,,,,,,,86.085530770515,-2.5618689489230335,-3.5111662516951965,1892.6859818058508,223.62849432250945,1:30,5.902254104282263,1.639412943227091,5.7507830911596995,-26.014993633957527,12.02460701687048,8.646812527471997,2.3208999329999247,-0.5565266600619941,78.8903739782184,-7.168994946686397,-1.5864858922896938,0.4424897823988392,,,,,,,,,,,,-5.553397578420604,7.0887014106514235,-1.4508705116232352,50.000000000000036,6.450232404749896,6.741071932366063,-125.31461588751303,-5.965204300147368,-8.802439608967884,26.08408653596167,-20.938069234848793,UC San Diego,Brigham Young,tri01,NCAA D1,BWC,61a0601c-a662-4a32-9588-1d160fd9263c,aaedbf64-3274-45fa-ba10-e34b7a72d39e,86.25682175489942,5.9005769306182225,1.6430944561032654,-2.542445681607702,-3.5553893931977756,79.03457129289706,2.322755367042111,-0.5594883107985594,-7.140177052605109,-1.6317873258140554,0.44235206340690586,9.055502897119162,10.544078790918899,-32.208943521724784,80.2219513243539,1601.4204876115525,-1008.8174500782363,84.61099743992419,-0.6124387763061357,-0.5330083594298631,-0.5837986245740298,,,,,,,,,,,,,,,,,0.9960376456663171,1,,,high,high,17.800243808081508,74.72844456329895,54.749216908840296,Bryant Ball,ball-br49,Brigham young
7,05/02/2023,6:22:31 PM,1,2,Jake Porter,porteja57,Right,Brigham young,Crew Robinson,robincr42,Left,Uc san diego,,2,Bottom,0,0,1,Fastball,,Foul,,,,0,0,,89.07736968193537,-2.5113673252909736,-2.4570483134249934,1807.0453870017973,239.65353815428784,2:00,5.7045337951144015,1.7053431384650763,5.770181985713598,-27.133074513735323,8.313247414141287,10.238413456677245,1.923834666942249,0.7982298311515977,80.55105356735795,-7.649414859321527,0.8134497998174299,0.4285062011059906,,,,,,,,,,,,-6.212609509224092,5.194269656524564,-1.5085482385943298,50.00000000000007,5.480566798792109,5.21346317078405,-129.38416592649864,-6.576769963822431,-10.491909993905256,27.934555714670395,-23.401920959629066,UC San Diego,Brigham Young,tri01,NCAA D1,BWC,61a0601c-a662-4a32-9588-1d160fd9263c,974552e9-7cd4-4ffa-ae9a-58d0c14d5cb6,89.24474101885971,5.702155667420789,1.709534256298705,-2.4837355903040432,-2.50702016950826,80.68623316290322,1.9263026897545112,0.7948682756405548,-7.611554481527214,0.7617494944403959,0.4283709828805925,10.699280757108546,6.833356822162184,-32.727904923034664,10.943219579216846,1520.1725310075033,-976.9792764714698,84.12475646390564,-0.425021484577755,-0.5406501040311159,-0.725984987901585,,,,,,,,,,,,,,,,,0.9953658360152555,1,,,high,high,80.15110237870482,0.9026709358367505,54.7298180142864,Bryant Ball,ball-br49,Brigham young
8,05/02/2023,6:22:57 PM,1,3,Jake Porter,porteja57,Right,Brigham young,Crew Robinson,robincr42,Left,Uc san diego,,2,Bottom,0,0,2,Curveball,,InPlay,,GroundBall,Out,1,0,,76.97539464235773,1.3706218349014492,-0.7124293322398368,2498.7685888221326,33.41951867201814,7:00,5.629851333989217,1.8654038930334322,5.5074338404215935,-58.71875387511037,-10.468145837373669,-9.842650387712881,2.776891474455941,0.19421836569400794,70.24135516667889,-9.704983597451571,-2.960437118519793,0.49994579245530923,93.9457929255092,4.773620421969321,20.08282616457742,2269.6835446133346,,,,91.54131293212411,,21.58778996844122,0.7152809097333163,5.027325021289305,-6.024154381177848,-1.796841795262024,49.99999999999997,5.710655945361583,1.682421303184414,-111.84422830429473,0.9363184052712022,6.280001458380269,22.773750709653868,-39.699263917498,UC San Diego,Brigham Young,tri01,NCAA D1,BWC,61a0601c-a662-4a32-9588-1d160fd9263c,ef890446-70f4-4afc-a3d7-89d51f92ab51,77.0570988269487,5.617595930893395,1.866398179778723,1.5181335129843854,-0.724856365423206,70.27507593728524,2.7870374267536957,0.19361169987635465,-9.5546075294287,-2.969272578857742,0.49986281778472147,-9.724004769587538,-13.86653076230743,-44.69562320171128,44.21770826361008,1776.2576446354146,-1757.4849189561774,71.08531988841374,0.5933209337527238,-0.7033404080786124,0.3915131414583765,32.14703958266625,87.92756963442466,7.8180785783047515,-0.2048208337408454,1.763831732989648,2.846501571870272,33.68046609136877,85.12013966861915,-4.53091716586216,-21.69934885078304,-0.19274116739802027,-0.5675603668743197,0.2740378627326697,-0.7763880986609714,,,0.993708685478059,1,0.8652072333190458,55.3901790437284,high,high,50.20406256275093,46.43667465598364,54.9925661595784,Bryant Ball,ball-br49,Brigham young
9,05/02/2023,6:23:32 PM,2,1,Jake Porter,porteja57,Right,Brigham young,Ryson Ujimori,ujimory42,Left,Uc san diego,,2,Bottom,1,0,0,Sinker,,BallCalled,,,,0,0,,81.41075743914881,-1.084334643564992,-2.67586293485024,1713.5831188386371,252.56795790584204,2:30,5.294545976879378,2.071598976446368,5.7474651042683815,-37.33358789939073,5.638893795447302,10.495050679412241,1.8083237747373337,1.590305828154909,74.182260385909,-8.605629847149983,1.0312187120980278,0.468794383116649,,,,,,,,,,,,-6.448784272759742,3.470724677393487,-1.8558962372736079,50.00000000000003,5.182310485658876,5.2090282176392515,-118.31576701282906,-3.3507742762902546,-9.10655570500657,23.3727163419308,-27.27291686476247,UC San Diego,Brigham Young,tri01,NCAA D1,BWC,61a0601c-a662-4a32-9588-1d160fd9263c,def68a46-d8e6-4dee-9336-cea2e973914f,81.56241708159648,5.290591373752814,2.0764824980634966,-1.0375623732201578,-2.734655362729146,74.29898786811002,1.8122423344256684,1.5863562833070557,-8.546423650215132,0.9708612844174379,0.46864970926493255,11.070965616850438,3.6409476122721505,-41.5682893905479,27.24060269044124,1282.0436417236863,-1136.9833797750164,74.8165424617732,-0.22413120434066428,-0.6635122435995955,-0.713804389055037,,,,,,,,,,,,,,,,,0.9692412611236325,1,,,high,high,114.5165424213971,-6.163630972868398,54.752534895731614,Bryant Ball,ball-br49,Brigham young
10,05/02/2023,6:23:48 PM,2,2,Jake Porter,porteja57,Right,Brigham young,Ryson Ujimori,ujimory42,Left,Uc san diego,,2,Bottom,1,1,0,Fastball,,StrikeCalled,,,,0,0,,89.70443192626377,-2.966722237537968,-3.7621741814616563,2049.004952073253,227.50489953610068,1:30,5.824827083616897,1.541530100817992,5.816783663313067,-23.04998965190124,11.95070234435148,10.248091414090206,2.385068626814993,-0.494949671251066,81.60052662068597,-6.571604230089609,-0.8631419042719936,0.4258040990012452,,,,,,,,,,,,-6.604435408409363,7.292558962458219,-1.2396332420485612,50.00000000000001,5.567970583832656,8.216808579924923,-130.09467133118724,-7.516566341286162,-11.276913118479193,28.232091281828403,-19.722182205131098,UC San Diego,Brigham Young,tri01,NCAA D1,BWC,61a0601c-a662-4a32-9588-1d160fd9263c,0014a094-e12c-4113-87ab-d3adc4bfd466,89.88034093194887,5.823586180261463,1.5455510652685756,-2.9525971854970834,-3.8098952675713673,81.74886257678166,2.386543499530561,-0.49817545891756077,-6.548494826535474,-0.912694836031809,0.4256655817203768,10.688754643818498,10.613202656292103,-25.096716604101275,82.43210156116089,1855.564756835247,-869.0803914550517,90.55931050619097,-0.6117527368581055,-0.4241475310128882,-0.6677255880092424,,,,,,,,,,,,,,,,,0.9957415336948903,1,,,high,high,15.811108594955305,51.21189407580694,54.68321633668693,Bryant Ball,ball-br49,Brigham young
