PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,05/06/2023,10:04:10 AM,1,1,Zack Ernisse,ernisza42,Left,Uc san diego,Luke Solis,solislu42,Right,Uc san diego,Windup,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,91.86647602863806,-2.493748333136644,1.4227395589184282,1987.162282590954,150.08259461042786,11:00,5.553394376148074,-1.3455309658862955,6.128130463275146,-18.51492117086045,14.348987502703242,-7.5203411038647,2.264836038663354,-1.7392288225484471,82.77512947842872,-6.473638412442956,-1.5011299929730024,0.4126018110981965,,,,,,,,,,,,4.512512895772868,8.545807869546856,1.2408626312901876,50.000000000000036,5.353297417309767,-3.0777187819252223,-133.58470012401355,-6.410672582855741,8.111768879137923,30.168796872484013,-16.811962003221076,UC San Diego,UC San Diego,tri01,NCAA D1,BWC,ac5912c6-79e2-4160-9869-940e6137b47b,4c071489-706f-4910-8cbc-e3c5b64ae5b9,92.04724758755394,5.553053737019035,-1.3477910677944356,-2.490222973091583,1.4501658603575371,82.92772582868164,2.265592082130147,-1.7373519178247807,-6.461553188496807,-1.4719867466164887,0.41246470450102274,-7.77061270041734,13.135562083201878,-8.071676197010872,85.93401105942472,1967.4758438010113,-279.02104116282936,99.00931901926627,-0.85815859703947,-0.14041180411245974,0.49381003188790407,,,,,,,,,,,,,,,,,0.9926616587082658,1,,,high,high,12.659390046517744,30.966139232956827,54.37186953672485,Colton Lomanto,lomanco42,Uc san diego
2,05/06/2023,10:04:22 AM,1,2,Zack Ernisse,ernisza42,Left,Uc san diego,Luke Solis,solislu42,Right,Uc san diego,Windup,1,Top,0,1,0,Fastball,,StrikeCalled,,,,0,0,,90.68444208733132,-1.554939940656972,2.181238785039074,1931.9350641026172,148.34295963727178,11:00,5.541984223779916,-1.2315737915135547,6.21562470948371,-19.76891860675331,13.833401302669621,-7.768401234398521,3.1043938267192543,-0.6240363980969292,80.99295792505146,-5.767987987384878,-0.5510412779493642,0.4172113873462722,,,,,,,,,,,,4.8841189699075045,8.014221440668644,1.072285065413556,50.000000000000014,5.415685431820574,-4.7833235535763015,-131.90571436811484,-4.195841777527899,8.559588137393513,29.441759667103746,-18.12884814912935,UC San Diego,UC San Diego,tri01,NCAA D1,BWC,ac5912c6-79e2-4160-9869-940e6137b47b,19ed41e5-d68a-4702-a25b-1b9ddc32a096,90.86236997262797,5.541389493028108,-1.233774959562035,-1.5482231680138923,2.208359351212608,81.14399455382974,3.10543208418829,-0.6221386238696685,-5.751462814839364,-0.5216111961334672,0.41707264361459195,-8.015218631323725,12.56246528316081,-10.688706277576404,81.18713777865946,1898.4147820861833,-358.3216530798168,98.26493743815328,-0.8364359252190456,-0.18547292801803203,0.5157273853261789,,,,,,,,,,,,,,,,,0.9950538010997426,1,,,high,high,16.93157599920652,36.24030280290139,54.28437529051629,Colton Lomanto,lomanco42,Uc san diego
3,05/06/2023,10:04:37 AM,1,3,Zack Ernisse,ernisza42,Left,Uc san diego,Luke Solis,solislu42,Right,Uc san diego,Windup,1,Top,0,1,1,Fastball,,BallCalled,,,,0,0,,92.1021324972622,-0.8319389286286217,1.3048173752438201,1979.2883146989138,150.60998841661998,11:00,5.6096626074150135,-1.1115843807937107,6.064951722702243,-18.336030910796488,14.417482756463727,-7.3099377370056144,3.3115753675271367,-0.5131304615742407,83.6859434072665,-4.29721752725146,-0.07955476735341788,0.4119082311580369,,,,,,,,,,,,4.359921859842264,8.082983098891692,1.014468104241164,49.99999999999997,5.535456149194189,-2.8159383091200603,-134.022260336316,-2.540452422510881,7.879547693415282,30.68559444410189,-17.56593208292829,UC San Diego,UC San Diego,tri01,NCAA D1,BWC,ac5912c6-79e2-4160-9869-940e6137b47b,913a02f3-7975-494e-8e5b-2b433a564299,92.2888213706834,5.609452647238392,-1.1138909355325894,-0.8300469289495301,1.3325673904065685,83.857376888793,3.3123111496778344,-0.5108297846680924,-4.286652653477149,-0.04845427651140907,0.4117659934017587,-7.562954394941186,13.182258521928148,-4.740344838115153,92.17688288450005,1972.5180455244492,-163.56892365016654,99.65794426591688,-0.8683190480223713,-0.0826402714730564,0.4890732218925734,,,,,,,,,,,,,,,,,0.9913128111150402,1,,,high,medium,7.040805403949849,53.67845338735227,54.43504827729775,Colton Lomanto,lomanco42,Uc san diego
4,05/06/2023,10:04:53 AM,1,4,Zack Ernisse,ernisza42,Left,Uc san diego,Luke Solis,solislu42,Right,Uc san diego,Windup,1,Top,0,2,1,Fastball,,BallCalled,,,,0,0,,92.31106058815169,-0.660082508618584,2.5556382579384396,2019.8348630105663,152.39268089898738,11:00,5.560766953971332,-1.1176362988078863,6.308485288339381,-17.637790996655365,14.695564141739812,-6.950097124145491,4.700202365039836,0.5445332552051869,82.33061595411195,-3.069618675778817,1.3988960521433202,0.40925774658299285,,,,,,,,,,,,4.567112855473626,8.252994800896296,0.9338975482436705,49.99999999999998,5.5039392495511335,-5.7787655300021665,-134.28940902057502,-2.0945690651797033,8.288567263045353,30.75493918336323,-17.19620588178555,UC San Diego,UC San Diego,tri01,NCAA D1,BWC,ac5912c6-79e2-4160-9869-940e6137b47b,4e3028a7-508c-4930-813d-27bf4b452e29,92.49602403696093,5.560730969592427,-1.1197741813752857,-0.6603111976292109,2.582021315331729,82.4924682016802,4.700721087083061,0.5463707074790083,-3.0609818080253457,1.4272413881200146,0.4091186085784007,-7.18988863732457,13.507326528912778,-2.606744545832609,78.62169273879482,2017.7447842860656,-91.86326425341127,99.89652229680868,-0.8852274275871133,-0.04548058157412382,0.4629297118863527,,,,,,,,,,,,,,,,,0.9981974215843162,1,,,high,high,19.240476535084678,9.038595074177783,54.191514711660616,Colton Lomanto,lomanco42,Uc san diego
5,05/06/2023,10:05:11 AM,1,5,Zack Ernisse,ernisza42,Left,Uc san diego,Luke Solis,solislu42,Right,Uc san diego,Windup,1,Top,0,3,1,Fastball,,BallCalled,Walk,,,0,0,,93.25773138011932,-1.1049151793772571,2.5362131787488096,,,,5.54913141114892,-1.1685610468941676,6.144311123801775,,,,3.6809301448468204,-0.771147429847831,82.80903444872307,-5.187997481988192,-0.4616047547751691,,,,,,,,,,,,,,,,,,,,,,,,UC San Diego,UC San Diego,tri01,NCAA D1,BWC,ac5912c6-79e2-4160-9869-940e6137b47b,6805ad5b-a8cd-4c88-9b0c-61e95d937a92,93.40585129242781,5.545250727409946,-1.1685610468941647,-1.058018522190417,2.5362131787487887,82.92821479333473,3.6846391459737897,-0.7711474298478294,-5.130723320416747,-0.46160475477515656,0.41769412352556,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,high,,,54.35568887619822,Colton Lomanto,lomanco42,Uc san diego
6,05/06/2023,10:05:36 AM,2,1,Zack Ernisse,ernisza42,Left,Uc san diego,Luke Saunders,saundlu43,Left,Uc san diego,Stretch,1,Top,0,0,0,Fastball,,BallCalled,,,,0,0,,91.28553931104649,-2.2219179707654866,1.1190673615381612,1960.7406136000338,151.70074359919514,11:00,5.55883188777829,-1.3912361699977114,6.1031218393731415,-18.782005093481775,14.519272069450057,-7.107279092670691,2.482320543449288,-2.0744950905495205,81.33533826340623,-6.154443297878973,-1.938423177960048,0.415338286943968,,,,,,,,,,,,4.1958929634282764,8.55320471955564,1.309085363526534,49.99999999999998,5.378327358907362,-2.3670450209160343,-132.77426881716897,-5.751222991948755,7.449901478523312,29.855766369102152,-16.987643964664283,UC San Diego,UC San Diego,tri01,NCAA D1,BWC,ac5912c6-79e2-4160-9869-940e6137b47b,88ba7fd8-2cfa-46fd-a5cc-2e6af023f641,91.46730119871232,5.558489585712744,-1.3933946744474497,-2.2184474274716806,1.1449843045701498,81.48933666358799,2.483153003188075,-2.072691282718583,-6.141123047180918,-1.9103779994477836,0.4151971944490163,-7.343346406805055,13.282339345102084,-7.867231098663804,80.7416028843093,1942.2859446565947,-268.38230755785236,99.05879090709733,-0.8721963154497903,-0.13687802746386063,0.4696147281691798,,,,,,,,,,,,,,,,,0.9804965045544644,1,,,high,high,17.33255740412165,18.145548478556776,54.396878160626855,Colton Lomanto,lomanco42,Uc san diego
7,05/06/2023,10:05:56 AM,2,2,Zack Ernisse,ernisza42,Left,Uc san diego,Luke Saunders,saundlu43,Left,Uc san diego,Stretch,1,Top,0,1,0,Fastball,,BallCalled,,,,0,0,,91.92455117089214,-1.2409330585964335,2.4846129498750313,2063.771397771079,154.42217650241813,11:15,5.610038073219437,-1.4020414628293505,6.016040381603216,-17.699923444016022,15.283209089213145,-6.713412595440493,2.9844319984445007,0.3411970334554065,83.537426591833,-4.580360223768442,1.2157902719968579,0.4133495530500911,,,,,,,,,,,,4.375525042500973,8.657853028769104,1.2111318882027795,50.00000000000001,5.503172285684257,-5.580384858175987,-133.6486336572966,-3.474867054146065,7.867397649413829,30.389705337473725,-16.606826931373103,UC San Diego,UC San Diego,tri01,NCAA D1,BWC,ac5912c6-79e2-4160-9869-940e6137b47b,9f36acdf-1fd0-45a1-ad9d-21c8ebdf37a9,92.11296724514445,5.610061346133593,-1.4040947416220146,-1.2418105090986944,2.509192442282089,83.70919530050864,2.984932242261414,0.34320246951696903,-4.5728396124139605,1.2431543549826483,0.41320710303714553,-6.9384134985175105,14.078385629581964,-7.297268278190021,89.01557333986557,2047.055880190963,-262.1347089448387,99.19004994457384,-0.8946939518660805,-0.12701731850143394,0.42823980816239055,,,,,,,,,,,,,,,,,0.9929903569602696,1,,,high,medium,9.885983994121018,44.96789398330579,54.48395961839678,Colton Lomanto,lomanco42,Uc san diego
8,05/06/2023,10:06:49 AM,2,3,Zack Ernisse,ernisza42,Left,Uc san diego,Luke Saunders,saundlu43,Left,Uc san diego,Stretch,1,Top,0,2,0,Fastball,,StrikeCalled,,,,0,0,,90.13834486341267,-0.2569877287979234,1.4017502300103153,,,,5.41973366777872,-0.9826357998942414,5.999999999999997,,,,2.4706110728889805,0.31631544215980745,82.78409274082554,-6.360709337683149,1.4017502300103306,,,,,,,,,,,,,,,,,,,,,,,,UC San Diego,UC San Diego,tri01,NCAA D1,BWC,ac5912c6-79e2-4160-9869-940e6137b47b,9d0e1e93-66fa-4553-ace2-41a60f399c8c,90.28989556131792,5.415306649758078,-0.9826357998942411,-0.20448453755450618,1.4017502300103224,82.90045786069305,2.474360718769299,0.31631544215980534,-6.303269162539989,1.4017502300103228,0.4198635632536254,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,54.5,Colton Lomanto,lomanco42,Uc san diego
9,05/06/2023,10:07:06 AM,2,4,Zack Ernisse,ernisza42,Left,Uc san diego,Luke Saunders,saundlu43,Left,Uc san diego,Stretch,1,Top,0,2,1,Fastball,,Foul,,GroundBall,,0,0,,91.34043040697597,-2.3760115609777825,2.108177514850103,1962.4614850833314,153.68748100875493,11:00,5.646595697436583,-1.3785464284299123,6.095015572927902,-18.438055118245,14.858508764780144,-6.644662332145323,2.6094487699257387,0.03149751466169358,82.7717670226803,-6.12024872372087,0.835522992304121,0.41530889355366585,42.43128850538763,5.337314424354016,29.728919399439846,,,,,37.13631725497325,,15.473949068227585,0.7185393074481794,4.2301369530726625,8.77666759773008,1.219900790733957,50.000000000000036,5.453963378759203,-4.6754898445208815,-132.77771173376775,-6.101972299686402,7.51486089311666,29.724810711363407,-16.58225271659661,UC San Diego,UC San Diego,tri01,NCAA D1,BWC,ac5912c6-79e2-4160-9869-940e6137b47b,cdb76136-ab70-42ed-9c9c-194967dbf7f9,91.52393120353909,5.646377339346277,-1.3806613544400235,-2.3740658514744375,2.1333891393091076,82.92763080868131,2.6100896642909137,0.03320373332818675,-6.109825849569631,0.8618998208058489,0.4151676658156657,-6.874831756716024,13.650755970469516,-3.1420466423441877,89.03791605039206,1959.5113472753033,-107.56560944279485,99.84967155633616,-0.8950420704521924,-0.05481157732796337,0.44260070392112283,20.9503210351716,36.686784162979954,3.946917851895307,-5.470388112720519,-1.458545466357739,3.1925822222256044,9.907977251331463,35.79019483111431,,,,,,,,,0.9878140820487463,1,,12.094838095335524,high,high,9.865875554647157,17.25797283973212,54.404984427072094,Colton Lomanto,lomanco42,Uc san diego
10,05/06/2023,10:07:31 AM,2,5,Zack Ernisse,ernisza42,Left,Uc san diego,Luke Saunders,saundlu43,Left,Uc san diego,Stretch,1,Top,0,2,2,Fastball,,BallCalled,,,,0,0,,91.49971968797844,-0.3370988258193381,2.3852208546514655,1867.2282554383016,149.66626940621347,11:00,5.630449218537002,-1.2027932270598152,6.220208046911619,-19.2093182110634,13.792190457403702,-7.143607987124646,4.906186343969833,1.038644958304589,83.61886064875897,-3.206323373713277,1.8643156878852662,0.41346468325494545,,,,,,,,,,,,4.607337042758698,7.636938857008199,1.0280962367014674,49.999999999999964,5.595637617260343,-5.321715533659629,-133.11610060428353,-1.3838104712157315,8.21915575711737,30.121030736085263,-18.550303506475398,UC San Diego,UC San Diego,tri01,NCAA D1,BWC,ac5912c6-79e2-4160-9869-940e6137b47b,f1b81af6-b4bf-4063-a2fa-393a9870d088,91.68469874422432,5.630044223459591,-1.2051353455123628,-0.3327663110608985,2.4137473583410785,83.78003331299195,4.906902286310708,1.040556046446538,-3.194624339367828,1.8939150673857774,0.41332417224537765,-7.403841539100579,12.54510283069226,2.74988206628733,76.52311218840707,1865.0781144991392,89.58227907069254,99.88484852171126,-0.8621045100448862,0.04797607298935424,0.5044542696625601,,,,,,,,,,,,,,,,,0.968343246572878,1,,,high,high,21.12919903043357,-2.3748146126738687,54.27979195308838,Colton Lomanto,lomanco42,Uc san diego
