PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,05/07/2023,1:04:57 PM,1,1,Michael Mitchell,mitchmi57,Right,Uc san diego,Shunsuke Sakaino,sakaish42,Left,Cal state northridge,Windup,1,Top,0,0,0,Fastball,,StrikeCalled,,LineDrive,,,,,91.42659657603662,-3.9395556957054647,-1.0501818994151146,2304.341391039888,191.33893390495254,12:30,7.63104112525138,1.6524063831521048,5.999999999999997,-17.31616934721267,16.06854236940881,1.9167087574670565,2.5317345893048024,0.8390517310441922,83.53064084242189,-7.179629340662015,-0.6881444818970556,0.4158582652907653,,,,,,,,,,,,-1.34130787956388,9.844662452963629,-1.5709692920237603,49.99999999999996,7.311573240028356,2.3712966377528786,-132.76148274160943,-9.707940551916886,-2.385456655119726,29.362824625301183,-14.665753449347841,UC San Diego,Cal State Northridge,tri01,NCAA D1,BWC,a636072e-bcec-4cfc-a4ce-1b0a87dbdfd1,09af6ed8-eb1f-48a2-823e-f84cef63ee37,91.61627209584876,7.631187353854002,1.6539149038288021,-3.9420403455800535,-1.068484530612739,83.68937186006167,2.5320474272017552,0.83790539262798,-7.174247305726734,-0.7059020794965334,0.41572751292214616,2.0884040446718717,14.933683551841431,-34.30152940088026,60.22442449299044,1903.5778229628038,-1298.607222521051,82.60832489337744,-0.8099591628580949,-0.5635481042741779,-0.16241825227231804,,,,,,,,,,,,,,,,,0.9951153608058454,0,,,medium,high,35.798017956308605,-66.12998829405302,54.5,Emiliano Gonzalez,gonzaem47,Uc san diego
2,05/07/2023,1:05:14 PM,1,2,Michael Mitchell,mitchmi57,Right,Uc san diego,Shunsuke Sakaino,sakaish42,Left,Cal state northridge,Windup,1,Top,0,0,1,Fastball,,InPlay,,LineDrive,Single,0,0,,90.75719015386642,-3.0181439850243135,-0.9429021688633993,2236.1682823873743,190.74087473696008,12:15,7.4527019496687705,0.7359202298512514,5.999999999999997,-18.331218362553678,15.488550281359828,1.7560845346893104,3.1258852187980795,0.008602739337476505,82.85303069093816,-6.45731484567872,-0.6111393709124819,0.41855914830862295,82.70397571752487,23.63620433339564,-24.35010103439994,,,,,251.81028337797392,,-24.253180773518892,2.8427230100315897,-1.2242379930256904,9.267051371460058,-0.662822915642018,50.0,7.205335280091441,2.114394412129827,-131.9199740105526,-7.549125101062088,-2.149087751351236,29.070972304820536,-15.90621056531576,UC San Diego,Cal State Northridge,tri01,NCAA D1,BWC,a636072e-bcec-4cfc-a4ce-1b0a87dbdfd1,39d60a62-8fe2-41a8-9826-a2835113bad3,90.9469537908397,7.452613607942153,0.7374699209150647,-3.0177881112706446,-0.9617459533401445,83.01159603510315,3.126398148825004,0.007422189252687449,-6.448880372258132,-0.6293668226143924,0.4184262443198547,1.9328799562659953,14.29896502633454,-36.70862929887528,45.85966048095108,1792.7039639190639,-1336.6604224350233,80.16856235905199,-0.7876401653652757,-0.59774589996777,-0.14940819580960724,-31.239127516515946,69.0260030150533,33.15833860822419,-0.049849659141018264,1.263487451065217,3.1494020000777554,-103.43597624678006,229.58531667502407,,,,,,,,,0.9901645429423764,0,,43.08494314429533,medium,high,48.726305567144045,51.276920614023396,54.5,Emiliano Gonzalez,gonzaem47,Uc san diego
3,05/07/2023,1:05:53 PM,2,1,Michael Mitchell,mitchmi57,Right,Uc san diego,Brandon Leon,leon-br45,Left,Cal state northridge,Stretch,1,Top,0,0,0,Fastball,,StrikeSwinging,,LineDrive,,0,0,,91.48260834417172,-3.0447535684578,-0.48065762917468985,2247.9790254272593,189.23566657439832,12:15,7.2892753561589725,0.4817531312838093,5.999999999999997,-17.263901183090486,16.02835936022994,1.6011626577122082,3.0269590480395667,0.16985374021767433,83.45826032643694,-6.285139310320751,-0.17805836819348791,0.4152820548533195,,,,,,,,,,,,-1.0072868447956547,9.571529198703637,-0.44488082233749443,49.999999999999964,7.040426070984388,1.0634446547093603,-132.9809608979842,-7.636111368959014,-1.7960869087274935,29.645498410525825,-15.107115396283556,UC San Diego,Cal State Northridge,tri01,NCAA D1,BWC,a636072e-bcec-4cfc-a4ce-1b0a87dbdfd1,2c6a1ea7-8496-4584-8417-501a86d9f786,91.67475623728832,7.289458380882046,0.483106899429164,-3.047703277978092,-0.4969600343590531,83.61946418790332,3.027253966342648,0.16881878192505897,-6.28008644880716,-0.19389120770213458,0.4151481475352769,1.75375714783455,14.876081545897161,-32.00846081813341,78.53757799141496,1906.2183954968882,-1191.5289033129493,84.79698315399474,-0.8369772152590677,-0.530044493224968,-0.13609546773887482,,,,,,,,,,,,,,,,,0.9963132295977553,0,,,medium,high,19.31617980772654,18.341719271854082,54.5,Emiliano Gonzalez,gonzaem47,Uc san diego
4,05/07/2023,1:06:28 PM,2,2,Michael Mitchell,mitchmi57,Right,Uc san diego,Brandon Leon,leon-br45,Left,Cal state northridge,Stretch,1,Top,0,0,1,Slider,,StrikeCalled,,,,0,0,,75.73652359048701,0.5136214230652066,-1.2622988400223807,2371.415721963041,41.126495938375314,7:15,7.2602377872917465,1.821408972226714,5.999999999999997,-56.04194210390341,-7.22656775009343,-10.401215926039724,3.0660634005474545,-0.21504161288299936,69.39667230166434,-10.001545363338138,-3.232753091488294,0.502863176623135,,,,,,,,,,,,5.25222906424286,-4.085625827849702,-1.7165783404844241,49.99999999999996,7.27001748021862,2.706294458201781,-110.16101204912164,-0.5150051710644823,6.374569940215004,21.82165573376115,-37.13272661067222,UC San Diego,Cal State Northridge,tri01,NCAA D1,BWC,a636072e-bcec-4cfc-a4ce-1b0a87dbdfd1,f365332b-dc0a-44dc-9645-9b54ca2ae435,75.8236842636898,7.248413567505141,1.8225341878577406,0.6542695730283674,-1.2762649265136075,69.43671706294744,3.075334093617496,-0.21567480658029906,-9.863247225932469,-3.2420217116413794,0.5027780457095072,-10.266969197122716,-10.534466585744404,-51.57561186349486,17.980939452974496,1473.790524241589,-1857.8358423254713,62.148129937402786,0.46813657737464553,-0.7834289977581695,0.40876295134904594,,,,,,,,,,,,,,,,,0.9665206961163209,0,,,medium,high,73.81715449232297,18.869838721822298,54.5,Emiliano Gonzalez,gonzaem47,Uc san diego
5,05/07/2023,1:07:06 PM,2,3,Michael Mitchell,mitchmi57,Right,Uc san diego,Brandon Leon,leon-br45,Left,Cal state northridge,Stretch,1,Top,0,0,2,Fastball,,StrikeSwinging,Strikeout,,StrikeoutSwinging,1,0,,92.10652813712068,-2.0036737098719035,-0.21773173216506883,2362.2929192445677,191.37026111628307,12:30,7.267372183206716,0.18407882416208712,5.999999999999997,-17.282491946272966,15.523279391638187,2.106096693104153,3.9700324206990008,0.15786205464864878,83.89790003195816,-5.256919722262163,0.18042254866707996,0.41223669646263816,,,,,,,,,,,,-1.2051948807677642,8.999720886152378,-0.16813420477545424,50.00000000000006,7.100452037664026,0.44008904537317844,-133.99363755837533,-5.254887532853288,-2.1805301783780404,30.259135086583576,-15.891070540542271,UC San Diego,Cal State Northridge,tri01,NCAA D1,BWC,a636072e-bcec-4cfc-a4ce-1b0a87dbdfd1,c600d078-eb8f-4057-acac-2bdd1fb47a80,92.30175975200484,7.267529966758937,0.1857780309605586,-2.006340043624003,-0.23827648878143307,84.06111233041645,3.970344083828882,0.1565710701857336,-5.251544955139542,0.1604794896312882,0.4121034592650038,2.298629420564977,14.36484111230154,-37.85878985534479,52.264692792401924,1865.0909785935166,-1449.7804929995784,78.95257033534816,-0.7740301836614392,-0.6137174950611969,-0.15565381793212982,,,,,,,,,,,,,,,,,0.9688230541801597,0,,,medium,high,42.961776486838275,2.62908197372145,54.5,Emiliano Gonzalez,gonzaem47,Uc san diego
6,05/07/2023,1:07:41 PM,3,1,Michael Mitchell,mitchmi57,Right,Uc san diego,Graysen Tarlow,tarlogr42,Right,Cal state northridge,Stretch,1,Top,1,0,0,Fastball,,BallCalled,,,,0,0,,92.67409267570845,-2.813008369950029,0.055326178794296375,2392.1256232954793,185.0725386744504,12:15,7.333552548254749,0.3173859412328927,5.999999999999997,-15.558199831599307,16.891336841465257,0.7108642893646374,3.4287455443618637,0.42788319062288754,84.4163508188619,-5.73756338319604,0.1897281495815731,0.4099923680970452,,,,,,,,,,,,-0.3691699901293379,9.980196348180469,-0.32212138648825783,50.000000000000014,7.103902958476843,-0.15355768103779308,-134.73820937575292,-7.133725465453427,-0.6752277381009931,30.65531971375708,-13.919842618568195,UC San Diego,Cal State Northridge,tri01,NCAA D1,BWC,a636072e-bcec-4cfc-a4ce-1b0a87dbdfd1,dbc8cbdb-f8a9-49ca-bb3e-37f98f127012,92.87090034381266,7.334195038327547,0.3183478223550767,-2.821448902692016,0.04377561405703802,84.58118173179321,3.4286693809701547,0.4271618651031393,-5.738128898795618,0.17865785679260532,0.4098590593932377,0.819082160798266,15.795476754128577,-29.49159654283889,76.62985216157215,2082.172899771627,-1177.6336497754305,87.04279070858952,-0.8670189259766087,-0.49229590549390945,-0.07696053165291739,,,,,,,,,,,,,,,,,0.8594632149049977,0,,,medium,high,21.033133054585115,0.03285998350240225,54.5,Emiliano Gonzalez,gonzaem47,Uc san diego
7,05/07/2023,1:08:30 PM,3,2,Michael Mitchell,mitchmi57,Right,Uc san diego,Graysen Tarlow,tarlogr42,Right,Cal state northridge,Stretch,1,Top,1,1,0,Fastball,,StrikeSwinging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UC San Diego,Cal State Northridge,tri01,NCAA D1,BWC,a636072e-bcec-4cfc-a4ce-1b0a87dbdfd1,6e54cf0f-f0ad-4a8c-b7d9-13c493299eab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emiliano Gonzalez,gonzaem47,Uc san diego
8,05/07/2023,1:08:27 PM,3,3,Michael Mitchell,mitchmi57,Right,Uc san diego,Graysen Tarlow,tarlogr42,Right,Cal state northridge,Stretch,1,Top,1,1,1,Fastball,,InPlay,,Bunt,Sacrifice,1,1,,91.16597861490582,-4.18260916690901,-0.5418054334123161,2257.6852275299952,195.49274131896968,12:30,7.388335766379212,0.659854971204429,5.999999999999997,-16.99944511938129,16.59867813493192,3.404285352684788,2.0895441434572186,0.44155914336613183,83.27873984115885,-7.361682642210636,0.10145537126027264,0.41718533338665403,,,,,,,,,,,,-2.0015868682698903,10.207103299629773,-0.6191705424319848,50.00000000000001,7.049896298185777,1.1412149810101526,-132.35645539826592,-10.231096657791413,-3.53682892096324,29.27445466920936,-14.137970951754015,UC San Diego,Cal State Northridge,tri01,NCAA D1,BWC,a636072e-bcec-4cfc-a4ce-1b0a87dbdfd1,638f94db-758d-46d7-83cd-129dc738a9c8,91.35734518441757,7.388666516038329,0.6616603363773526,-4.187230896477185,-0.5633423831922907,83.43673318214205,2.089726879678,0.44021116473681393,-7.358300055996112,0.08052472540159519,0.4170522794123063,3.605909857550749,15.465504293187424,-24.82526833582651,80.23069735035936,2049.057962441269,-947.8945369413218,90.75924036952779,-0.8746143996082244,-0.4198523892448724,-0.24243271900326738,,,,,,,,,,,,,,,,,0.9979030082078661,0,,,medium,high,17.79237238467662,-6.01695529087239,54.5,Emiliano Gonzalez,gonzaem47,Uc san diego
9,05/07/2023,1:09:11 PM,4,1,Michael Mitchell,mitchmi57,Right,Uc san diego,Ali Camarillo,camaral42,Right,Cal state northridge,Stretch,1,Top,2,0,0,Fastball,,BallCalled,,,,0,0,,91.73725884025737,-1.5366044016768743,-0.5505857211829205,2332.49584348781,185.71765812958105,12:15,7.393456031040519,0.6879443019814656,5.999999999999997,-16.185847271108,16.906982636643587,1.0992256126612394,4.620596571464264,0.26942466166285256,83.39970621884221,-4.588908209540153,-0.34266437809486144,0.414036354429544,,,,,,,,,,,,-0.758716556719275,9.621557522675113,-0.64530283728408,50.000000000000036,7.263861268054282,1.2467675842927408,-133.47389611987418,-4.109162271798175,-1.3604142004811637,30.35508486326403,-14.922147846577925,UC San Diego,Cal State Northridge,tri01,NCAA D1,BWC,a636072e-bcec-4cfc-a4ce-1b0a87dbdfd1,aeebf5b3-ca19-44c4-a8dd-691361a94464,91.93625115159226,7.3940778074370614,0.6890110215945239,-1.5448376244449133,-0.5634002716308514,83.56646391912862,4.620558851343466,0.26862109472135215,-4.588858241140439,-0.35505752409335867,0.4138990217828513,1.2192645672606996,15.751396507170574,-28.063292042294897,74.74660977800339,2058.260687834493,-1097.314813899361,88.24284482997193,-0.8780382900891796,-0.4704466320756793,-0.08791318163916176,,,,,,,,,,,,,,,,,0.9923185957996402,0,,,medium,high,22.728051199796994,-3.4298913854468847,54.5,Emiliano Gonzalez,gonzaem47,Uc san diego
10,05/07/2023,1:09:30 PM,4,2,Michael Mitchell,mitchmi57,Right,Uc san diego,Ali Camarillo,camaral42,Right,Cal state northridge,Stretch,1,Top,2,1,0,Fastball,,BallCalled,,,,0,0,,91.36517741939794,-2.048726949530801,-0.7188062422984391,2351.193002617523,192.58221598357454,12:30,7.268286415316489,0.8859456960623969,5.999999999999997,-17.773735402568786,15.570647026946506,2.3825685322268493,3.8880805355127506,0.41849929527654084,83.24006918830447,-5.393682116208365,-0.26843827509299095,0.41560700753582497,,,,,,,,,,,,-1.5011281011117643,9.03792469019988,-0.8307957498803535,49.999999999999964,7.097541491943728,1.5898750567369249,-132.9027048368368,-5.333107657824315,-2.6721395841796256,29.74569688809527,-16.085751521610238,UC San Diego,Cal State Northridge,tri01,NCAA D1,BWC,a636072e-bcec-4cfc-a4ce-1b0a87dbdfd1,f74aa988-c08d-4315-ac95-64053e9cb1bc,91.55965940525968,7.268383530728609,0.8877777579231464,-2.0506417190078206,-0.7407812062717916,83.40255598221201,3.8884572023089765,0.41710242792071295,-5.387360537202566,-0.28980876973854686,0.41547113098860844,2.5881731122172256,14.388292288580717,-38.07772280409935,47.621851416516385,1850.8000433088976,-1450.050942293196,78.71748687787219,-0.76827041115146,-0.6167298646597245,-0.1714784225083859,,,,,,,,,,,,,,,,,0.9283636625146027,0,,,medium,high,47.14033372513528,2.5545491759868946,54.5,Emiliano Gonzalez,gonzaem47,Uc san diego
