PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,05/09/2023,2:40:06 PM,1,1,Donovan Chriss,chrisdo44,Right,Uc san diego,Nick Costello,costeni43,Left,Uc san diego,Windup,1,Top,0,0,0,Fastball,,StrikeCalled,,LineDrive,,0,0,,89.28327427375164,-1.106735918052828,-2.1285951717145206,2087.7727286438076,234.66151037136376,1:45,4.82961952356956,1.6014470979418016,6.165404429131396,-24.55712072489033,10.173327299668639,11.386068771637266,2.520875590629875,1.0981673775618106,79.48976480253032,-6.106116259523013,1.4074324805262484,0.42415707483220655,,,,,,,,,,,,-6.83676465459548,5.87458272676276,-1.446169684916755,50.0,4.733246776923421,4.476721122728896,-129.88174604443387,-3.2673211381991787,-11.612454374864992,28.639565745978157,-22.19589071518848,UC San Diego,UC San Diego,tri01,NCAA D1,BWC,c10e25b6-813e-45ba-bf21-869acc84739c,93870f36-1bb2-433a-b1e0-1dc3ee967fe5,89.45878209492146,4.827942309596484,1.6060986103321588,-1.0878004956179768,-2.1831536615392357,79.62981676330413,2.5228240886208284,1.094526408602872,-6.075578423128948,1.3507814793412598,0.4240171093240098,11.884579567590695,8.738820905070337,-27.121733964008566,23.87481300231077,1858.2011081576236,-951.7791803304951,89.0039937136591,-0.514804218539546,-0.45588256196293914,-0.7260493828053256,,,,,,,,,,,,,,,,,0.9905591316802524,1,,,high,high,68.51266829792031,0.12827613520218162,54.3345955708686,Colton Lomanto,lomanco42,Uc san diego
2,05/09/2023,2:40:21 PM,1,2,Donovan Chriss,chrisdo44,Right,Uc san diego,Nick Costello,costeni43,Left,Uc san diego,Windup,1,Top,0,0,1,Fastball,,StrikeCalled,,,,0,0,,89.82875820563251,-1.9863168353841127,-2.2576324749960834,2237.927922691043,230.5998488353421,1:45,4.8609016229708555,1.1969757781093542,6.252138751249886,-23.537363288695655,11.388880077457781,10.98770115840031,1.9034316472250086,-0.10672496355438088,81.07281001370157,-6.298287223379888,-0.10921875622719734,0.4209847237879008,,,,,,,,,,,,-6.624927322484645,6.759185415408613,-1.034891209882931,49.999999999999986,4.702148687080596,4.817849852290541,-130.63264045091015,-5.2325344142183985,-11.38845092056515,28.852230223485147,-20.554804933288693,UC San Diego,UC San Diego,tri01,NCAA D1,BWC,c10e25b6-813e-45ba-bf21-869acc84739c,f15d654e-79ea-4230-b6de-ed67918d04bf,90.01023322194733,4.859591739646689,1.2018678281867161,-1.9723546250671444,-2.312500357099709,81.21859953586896,1.9049253231184893,-0.11031270542017754,-6.275006628863317,-0.16418032999905477,0.4208425841161986,11.503538710397912,9.991080572113507,-29.73331744493406,80.68554592277127,1943.2896202322877,-1109.9310064403544,86.8343256513614,-0.5511657311487733,-0.4959636971264449,-0.6709965334783079,,,,,,,,,,,,,,,,,0.9925672502448132,1,,,high,high,17.3830086695059,58.384140430144996,54.24786124875011,Colton Lomanto,lomanco42,Uc san diego
3,05/09/2023,2:40:35 PM,1,3,Donovan Chriss,chrisdo44,Right,Uc san diego,Nick Costello,costeni43,Left,Uc san diego,Windup,1,Top,0,0,2,Fastball,,InPlay,,LineDrive,Single,0,0,,90.65466874294883,-1.3309208019484056,-2.212694699069527,2213.51827332144,235.5550080778944,1:45,4.749585373908489,1.2034040746444383,6.395280636792286,-23.439245116494526,9.947719495970162,11.397403449155208,1.9003912092000996,0.32961715320412094,81.11556800668679,-6.868838655058449,1.09177883538621,0.41587229670669895,80.61873220410008,15.158242354694256,-21.108711260638362,,,,,185.1262809820923,,-21.00759910878634,1.8858014648127703,-6.918059381084675,5.86186397278302,-1.0500867288006042,50.000000000000036,4.643288395697909,4.7561750285195155,-131.91069201339354,-3.7674282520480475,-12.122841900140518,29.491541532022264,-21.902028739160095,UC San Diego,UC San Diego,tri01,NCAA D1,BWC,c10e25b6-813e-45ba-bf21-869acc84739c,e2fc51a2-6212-4115-b0d0-13184e162103,90.83453394330012,4.748006303638816,1.208446710790057,-1.3138478139070773,-2.2696587520778375,81.25568825257788,1.9021685414168843,0.32591904569813496,-6.841189475539287,1.0345565446094096,0.4157344478216032,11.91616839227397,8.587375092009394,-30.77561556583212,17.421315845523683,1901.8056193554028,-1132.6069629470508,85.91777363110246,-0.4859636052268499,-0.5116772590485759,-0.7085377597330004,-28.023753586202737,72.59239125223671,21.08065343907485,-0.4201403363151421,2.3126256082942773,2.05825945918143,-66.36624752609356,172.82147175500464,,,,,,,,,0.9966102146245376,1,,42.332268916732005,high,high,74.32081573902869,5.050772277720785,54.104719363207714,Colton Lomanto,lomanco42,Uc san diego
4,05/09/2023,2:41:06 PM,2,1,Donovan Chriss,chrisdo44,Right,Uc san diego,Crew Robinson,robincr42,Left,Uc san diego,Stretch,1,Top,0,0,0,Fastball,,StrikeCalled,,,,0,0,,88.42755346651602,-0.9150037981588053,-3.0989229072266316,2191.807548575802,230.59256724769358,1:45,4.86161234415214,1.693359690042034,6.033333377761355,-24.413156203955744,11.204842580948643,11.006110742476704,3.0433206175208016,0.7811757125487802,80.39899381325465,-5.110845673786003,0.4586853214404594,0.4296165082478447,,,,,,,,,,,,-6.876367212477073,6.4680055874569335,-1.4574879933475946,50.000000000000014,4.777066142883443,6.614255257755206,-128.519608713261,-2.812526799667034,-11.439956138607755,27.95693428836011,-21.413469480487795,UC San Diego,UC San Diego,tri01,NCAA D1,BWC,c10e25b6-813e-45ba-bf21-869acc84739c,e663fe45-2c27-42a3-810a-719cf6a0046d,88.6047827477615,4.860292886884344,1.6978540564189626,-0.8998673865734302,-3.1528215580307752,80.54687279816119,3.0449164657104917,0.7775649063952821,-5.08579425270001,0.403052378564829,0.42947372531262296,11.535034123661468,9.72968919113241,-30.65825457389032,78.078503342546,1885.4455004567594,-1117.6384007366717,86.02240199792583,-0.5460966610590596,-0.5099163023974863,-0.6646531436241175,,,,,,,,,,,,,,,,,0.9709853068743258,1,,,high,high,19.72934699170864,48.50432474523508,54.46666662223864,Colton Lomanto,lomanco42,Uc san diego
5,05/09/2023,2:41:22 PM,2,2,Donovan Chriss,chrisdo44,Right,Uc san diego,Crew Robinson,robincr42,Left,Uc san diego,Stretch,1,Top,0,0,1,Changeup,,BallCalled,,,,0,0,,83.93670311636185,0.3344450491487146,-0.8183889493694885,1925.712464031013,247.19925612163468,2:15,4.717084117904028,1.670127706512845,6.262363312215991,-32.647036409992296,7.196187878728772,12.840033928476029,2.962045953864865,2.9269989972536945,75.91073021980733,-6.308515562525837,3.4873358529531227,0.45030469087523184,,,,,,,,,,,,-7.255389571667669,3.913299970704193,-1.6158766227073256,49.999999999999986,4.726214337188968,1.3820103194273763,-122.20370430513682,-0.19008903875942473,-10.891422756593679,25.724890369036334,-26.299602193024462,UC San Diego,UC San Diego,tri01,NCAA D1,BWC,c10e25b6-813e-45ba-bf21-869acc84739c,8cf881f2-acff-4ad1-a0a9-0c29e37bf109,84.09801678566676,4.713911260708154,1.6753551557955968,0.37137152714425137,-0.8807533667224741,76.03721137130128,2.9652416243153445,2.9228206594447266,-6.2596236382690496,3.4232266507342732,0.45015982981327685,13.43941535657727,5.276263109576026,-26.834016845781722,4.869065896434155,1718.3478378231478,-869.2808535639732,89.23179705791603,-0.3457978014974404,-0.4514073984567478,-0.8225905671098155,,,,,,,,,,,,,,,,,0.9946701642696374,1,,,high,high,85.61784069320925,-13.425786715970803,54.237636687784004,Colton Lomanto,lomanco42,Uc san diego
6,05/09/2023,2:41:38 PM,2,3,Donovan Chriss,chrisdo44,Right,Uc san diego,Crew Robinson,robincr42,Left,Uc san diego,Stretch,1,Top,0,1,1,Fastball,,InPlay,,Popup,Out,1,0,,88.04987377024547,-1.7131506619426933,-4.080185718865882,2128.1506773863734,236.09748203598673,1:45,4.771463885281426,1.75506284085747,6.435806628787471,-25.15102109734357,10.290112314161068,11.71619604843766,1.8510407302684102,-0.04292799485418882,79.29758762133903,-6.759816303654332,-0.01056007087258078,0.42847483829194927,,,,,,,,,,,,-7.639036661358057,6.165172376313126,-1.470485273608111,50.000000000000014,4.638146868211092,8.785602677232893,-127.88521673353914,-4.557800766604877,-12.594992211322092,27.4603147896952,-22.009116296189426,UC San Diego,UC San Diego,tri01,NCAA D1,BWC,c10e25b6-813e-45ba-bf21-869acc84739c,dda61ded-19c8-43c3-9de6-7a77cec72afa,88.2165276076368,4.769838447247111,1.7594700639257999,-1.6936530652114024,-4.1347892829182245,79.43529045849671,1.8530154482830958,-0.046662545891327754,-6.728978793997704,-0.06835766708866121,0.4283412709931291,12.214908214981207,8.879282684876975,-27.49230677693873,19.175847351839405,1887.8246294602495,-982.417158880764,88.70728231417931,-0.49479288511956987,-0.46162951210169534,-0.7362595971475027,,,,,,,,,,,,,,,,,0.9583711942670068,1,,,high,high,72.74173738334453,5.530196410020754,54.064193371212525,Colton Lomanto,lomanco42,Uc san diego
7,05/09/2023,2:42:13 PM,3,1,Donovan Chriss,chrisdo44,Right,Uc san diego,Matt Halbach,halbama42,Right,Uc san diego,Stretch,1,Top,1,0,0,Fastball,,Foul,,LineDrive,,0,0,,88.69595475802541,-0.6343560998392891,-2.8054440687660054,2175.5611829191143,229.51801172760517,1:45,4.842312091346876,1.5675026580845028,6.36580232581158,-25.576896802141,11.262833807085059,10.489866855868216,2.5062744982043377,0.6956121015468625,78.8031121695827,-6.493552329980454,1.2144940537398248,0.4253672548814632,76.25296609240688,12.084621054336184,-56.613936732792496,3049.0625111973964,,,,133.035705190149,,-61.68427662770895,1.3886121925798933,-6.5587309145849915,6.353459966114417,-1.369816072199015,50.000000000000014,4.785353282847326,6.015518956856295,-129.0243444009535,-2.1274015090734326,-10.998092247002111,28.161043841332855,-21.520168567711156,UC San Diego,UC San Diego,tri01,NCAA D1,BWC,c10e25b6-813e-45ba-bf21-869acc84739c,72cdca57-336b-4a09-9d16-6f6ac469dcbf,88.87706211497672,4.840939807916462,1.5721736602974035,-0.6194081741065736,-2.8589130119042663,78.94536768298711,2.508069861451912,0.692035478754482,-6.465642879208683,1.1594246865877318,0.4252226623982418,11.002405837318102,9.739863428852843,-32.35877271966664,33.548334589507725,1837.7253776528898,-1164.401948192702,84.47132593104439,-0.5483954267285127,-0.5352191229254865,-0.6424974290984561,-62.258876666243886,41.030440549583794,15.964024005690286,-0.08121562180614504,1.3935826724074434,2.3528143143147315,-117.11761307618022,63.102801544609584,3.9473409238402217,-17.743425416682364,-0.16380936726635298,0.0782555915988609,-0.2536388021852849,0.9641283215472546,,,0.997002046154557,1,0.9643179264665539,34.825254782623595,high,high,59.806498869443075,7.095916704736169,54.13419767418842,Colton Lomanto,lomanco42,Uc san diego
8,05/09/2023,2:42:36 PM,3,2,Donovan Chriss,chrisdo44,Right,Uc san diego,Matt Halbach,halbama42,Right,Uc san diego,Stretch,1,Top,1,0,1,Slider,,BallCalled,,GroundBall,,1,0,,76.369026455108,0.5916202197565871,-2.7372288612728286,2188.8009249586125,89.93770505718773,9:00,4.683119848949788,1.5052078366361739,6.416931826192355,-43.725925547142815,3.4073802932449837,-10.91242427184526,2.3465071878276684,-1.7313428060488807,69.32933933202956,-7.827886737050248,-4.848920342637141,0.49866253646008174,,,,,,,,,,,,5.234950879801384,1.7529406594987573,-1.5209772560188668,50.00000000000001,5.538762451512586,5.573396502880414,-110.07878474103114,0.02075961079605635,6.371315280340607,21.017469697832073,-30.04059353916532,UC San Diego,UC San Diego,tri01,NCAA D1,BWC,c10e25b6-813e-45ba-bf21-869acc84739c,08d794d2-f6fe-49fa-baa1-b484a6f4d667,76.48841572914883,4.676179931081477,1.5052557320182143,0.6740433249435602,-2.7382226154223814,69.41343757528172,2.352555854451746,-1.731190179394313,-7.735172292071738,-4.846200021829507,0.498543900398463,-10.899356749568295,0.8826674841935739,-62.47115159058166,23.340037900475828,1011.6531843992733,-1940.9810209258844,46.21951557419058,0.000502522443486586,-0.886778234965606,0.4621948825576484,,,,,,,,,,,,,,,,,0.9971518648446736,1,,,high,high,68.99396588957175,40.44537685280419,54.083068173807646,Colton Lomanto,lomanco42,Uc san diego
9,05/09/2023,2:43:07 PM,3,3,Donovan Chriss,chrisdo44,Right,Uc san diego,Matt Halbach,halbama42,Right,Uc san diego,Stretch,1,Top,2,1,1,Slider,,StrikeSwinging,,,,0,0,,76.53659257418518,0.16466092552171316,-1.1871926511090485,2175.003463019148,93.34978644288385,9:00,4.79830086856259,1.2299003574117549,6.554863274030461,-43.128223129394364,3.385357836513201,-10.394023677221217,2.0069710372253033,0.40109563653509256,69.19448025760283,-8.624843113334974,-1.5686459399540351,0.4908642581341327,,,,,,,,,,,,5.398234339089689,1.824100341813629,-1.143671797166794,49.99999999999998,4.791085502164663,2.563813515411729,-111.47941995908086,-0.731749219397033,6.749184341331941,21.25604194590441,-29.893453989243664,UC San Diego,UC San Diego,tri01,NCAA D1,BWC,c10e25b6-813e-45ba-bf21-869acc84739c,56742fad-9845-4970-beca-1439b21bd9e3,76.65353251364937,4.7916604327711125,1.2301618187903631,0.24499519147853913,-1.1908034366388347,69.27293028273087,2.013114815975811,0.4010333021414701,-8.530942280853122,-1.5692358472616326,0.4907391075736105,-10.357262081562046,0.9714756710278579,-64.15130056915372,21.197871592902214,948.293185829326,-1957.3911458507607,43.599617285803724,-0.02547591107725916,-0.899948519223819,0.43525123859862713,,,,,,,,,,,,,,,,,0.9948850835959994,1,,,high,high,70.92191556638801,42.382249933028774,53.94513672596954,Colton Lomanto,lomanco42,Uc san diego
10,05/09/2023,2:43:21 PM,3,4,Donovan Chriss,chrisdo44,Right,Uc san diego,Matt Halbach,halbama42,Right,Uc san diego,Windup,1,Top,2,1,2,Fastball,,BallCalled,,,,0,0,,89.50132707867671,-0.30468980758154013,-2.288735877668859,2279.7720272724027,223.99061017146047,1:30,5.005029124265416,1.016688739015027,6.316524823958772,-22.627231464604115,12.656686420230095,10.077721067520507,3.504864662450486,0.1535854425476749,80.35205747652522,-5.046856570691946,0.6064644087883325,0.42197326990013995,,,,,,,,,,,,-6.203118072345025,7.008493726055496,-0.854316318090493,50.00000000000002,4.972330000912548,4.903348041409841,-130.23446390737791,-1.3450804671991219,-10.585801512375541,28.97961348928204,-20.2138510826841,UC San Diego,UC San Diego,tri01,NCAA D1,BWC,c10e25b6-813e-45ba-bf21-869acc84739c,062e16cf-f0c1-4a14-8a1a-376bfe1c893e,89.68309039568541,5.004300244206528,1.0208222857584432,-0.29659028511032004,-2.3386079260341366,80.5025432522958,3.5060642842366136,0.15023422738577835,-5.027788746284887,0.5546493601058485,0.4218293376619322,10.567016527196703,11.246518212758684,-30.129816660521275,19.82011829328023,1971.7527477868987,-1144.356412106183,86.48903154347283,-0.6222484801660407,-0.5019608971495848,-0.6007013290012236,,,,,,,,,,,,,,,,,0.9966902259814953,1,,,high,high,72.16189353604781,-49.51470999851839,54.18347517604123,Colton Lomanto,lomanco42,Uc san diego
